,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
6,-91.24166666699992,37.091666667,146908,,DEFAULT,,,,1580844450257,20.0,,MOMOC,,,,,,,,Human,Debris/Open Burning,,MZ56,,2020/02/04 19:25:00,,,,,,,,,EACC,,,,,,NN SHANNON COUNTY,,WF,FI,,,,,{30AF5A55-52D9-4032-AED9-3B904C7B7038},,0,0.0,0.0,0,0.0,0.0,,1,000001,1610553621560,,,,Shannon,MOMOC,29203,DOC,MOMOS,,Private,Private,,,,,,,EA13,NPS,MOOZP,US-MO,,,,,,2020-MOOZP-000001,No Decision,firecode,INFORM_Inspector,,,,,,{E84FFAE1-9A1B-4CBC-B3AB-6F869E2FEAE0},2021/01/13 16:00:21,2020/02/04 19:27:30
5,-89.52722220000001,30.699166700000003,146822,,DEFAULT,,,,1583191172437,2135.0,,MSMIC,,,,Extreme,Creeping,,,Human,,,,,2020/02/29 04:30:00,Type 5 Incident,,25.0,75.0,0.0,0.0,,,SACC,2020/03/02 23:00:00,2020/02/29 04:44:59,2020/03/02 23:00:00,F,Type 5 IC,Two Hollows,Two Hollows Road off Bouie Rd,WF,FI,,,,,{F9D80C3E-E479-45A6-ABAA-37D906360E8E},,0,,,0,,,,1,007063,1609872554450,100.0,100.0,,Pearl River,MSMIC,28109,FC,MSMSS,,Private,Private,,,,,,,SA22A,FC,MSMSS,US-MS,,,Timber (Litter and Understory),Timber (Grass and Understory),18.0,2020-MSMSS-007063,No Decision,ics209,INFORM_Inspector,,,,,,{78156DF6-1941-4B0C-AF6A-23E2BAFBEF8A},2021/01/05 18:49:14,2020/03/02 23:19:32
8,-92.27197,47.525859999999994,156466,,DEFAULT,,,,1588627755237,10.0,10.0,MNMNCC,,,2021/01/15 16:07:34,,,,,Unknown,Investigated but Undetermined,,M3QP,,2020/05/04 18:35:00,,,,,,,P9,,EACC,,,,,,Nobel DNR Assist,,WF,FI,47.525859999999994,-92.27197,10.0,,{AFC01DE1-0A23-4C4A-B670-1AF0EA63DF75},,0,1.0,1.0,0,0.0,0.0,,1,000069,1610746090817,,,,St. Louis,MNMNCC,27137,,,,Private,Private,,,,,,,EA03,FS,MNSUF,US-MN,,,,,,2020-MNSUF-000069,No Decision,wildcad,INFORM_Inspector,,,,,,{E8559ED5-D5A5-4AC2-BF81-6F94F531040E},2021/01/15 21:28:10,2020/05/04 21:29:15
9,-87.07472220000001,30.5577778,156576,,DEFAULT,2248.7162,,,1588709706170,2215.0,,FLFIC,,,,Minimal,Creeping,Smoldering,Backing,Human,,,M3QM,,2020/05/04 18:16:00,Type 4 Incident,,0.0,100.0,0.0,0.0,,,SACC,2020/05/22 20:00:00,2020/05/22 18:00:00,2020/05/22 20:00:00,F,Type 4 IC,5 MILE SWAMP,Delmonte off Avalon Blvd,WF,FI,,,,,{A1723CF9-1556-4D1B-B4AC-1F3920E23785},,0,,,0,,,0.0,1,010332,1609872413697,100.0,100.0,Milton,Santa Rosa,FLFIC,12113,,,,Private,Private,Tallahassee,,,28.0,24.0,1N,SA44,DVF,FLFLS,US-FL,,,Southern Rough,Brush (2 feet),3.0,2020-FLFLS-010332,No Decision,ics209,INFORM_Inspector,,,,,,{4BB3733D-10CE-4F8E-9509-54D5AF54DED4},2021/01/05 18:46:53,2020/05/05 20:15:06
10,-107.0754,46.13577,179297,,DEFAULT,,,,1596652411317,70.0,70.0,MTBDC,,,,,,,,Unknown,Lightning,,NDH9,,2020/08/04 20:39:59,,,,,,,,,NRCC,,,,,,Bear Ridge,,WF,FI,45.90798,-107.0436,,,{8D5CF586-3C53-46BB-A427-9387D74AFC18},,0,0.0,0.0,0,0.0,0.0,,1,200361,1610648696120,,,,Treasure,MTBDC,30103,,,,Private,Private,,,,,,,NR14,C&L,MTLG33,US-MT,,,,,,2020-MTLG33-200361,No Decision,wildcad,wildcad,,,,,,{788C35B8-9FF0-4EA1-A867-BE2CFDDB72A8},2021/01/14 18:24:56,2020/08/05 18:33:31
13,-118.6702,34.55226,199349,,DEFAULT,0.1,,,1609620640260,0.1,0.1,CAANCC,,,,,,,,Unknown,Cause and Origin Not Identified,,,,2021/01/02 20:41:33,,,,,,,,,OSCC,,,,,,TEMPLIN,,WF,FI,34.56966,-118.6875,,2021/01/02 20:41:00,{08DB991F-87FA-4E62-BE55-60F801EE6E41},,0,0.0,0.0,0,0.0,0.0,,1,000022,1610991897383,,,,Los Angeles,CAANCC,6037,FS,CAANF,,USFS,Federal,,,,,,,SC09,FS,CAANF,US-CA,Grass,GR1,,,,2021-CAANF-000022,No Decision,wildcad,wildcad,,,,,,{290C3CB5-E566-44AC-B2B8-D3DD5A6BFEDB},2021/01/18 17:44:57,2021/01/02 20:50:40
18,-82.4044444,28.754444399999997,199726,,DEFAULT,,,,1609970241883,313.0,,FLFIC,,,,Active,,,,Human,,,,,2021/01/06 16:49:00,Type 5 Incident,,0.0,0.0,100.0,0.0,,,SACC,2021/01/06 21:45:00,2021/01/06 16:49:00,2021/01/06 21:45:00,F,Type 5 IC,NORTH 16,CITRUS TRACT TRAIL 13/TRAIL 16 STR 09/20/19,WF,FI,,,,,{67AA82A4-208F-4AB4-9936-5E5E8D090FBE},,0,,,0,,,0.0,1,110014,1609970266090,100.0,100.0,,Citrus,FLFIC,12017,DVF,FLFLS,,State,Other,,,,,,,SA47,DVF,FLFLS,US-FL,,,Southern Rough,,10.0,2021-FLFLS-110014,No Decision,ics209,wfdss,,,,,,{10A8909E-2314-4599-A857-9F7F7666C1EE},2021/01/06 21:57:46,2021/01/06 21:57:21
25,-116.52814492700001,32.5986132190001,200058,,DEFAULT,18.64,,,1610572493703,18.6,0.1,CAMVIC,,,,,,,,Human,Debris/Open Burning,,NS5B,,2021/01/13 21:13:14,,,,,,,PN,1522.0,OSCC,,,,,,BORDER 3,,WF,FI,32.594381,-116.527763,,,{B36106D6-22FD-4AB4-9603-C045EC5FAD62},,0,1.0,1.0,0,1.0,1.0,,1,000960,1610670779080,,,,San Diego,CAMVIC,6073,,,,Private,Private,,,,,,,SC11,CDF,CAMVU,US-CA,Grass-Shrub,GS2,,,,2021-CAMVU-000960,No Decision,cfcad,INFORM_Inspector,,,,,,{4BE908C2-05C8-4C31-BDF5-0B1608361D43},2021/01/15 00:32:59,2021/01/13 21:14:53
26,-110.4363,33.3738,200061,,DEFAULT,,,,1610574166670,88.0,5.0,AZPHC,,,,,,,,Human,,,NS5C,,2021/01/13 20:34:00,,,,,,,PA,1522.0,SWCC,,,,,,Lake,,WF,FI,33.36674,-110.4471,89.0,,{7D05B017-457A-4539-8495-7EAA0BA09C21},,0,1.0,0.0,0,0.0,1.0,,1,000083,1610662216937,,,,Graham,AZPHC,4009,BIA,AZSCA,,BIA,Federal,,,,,,,SW06N,BIA,AZSCA,US-AZ,,,,,,2021-AZSCA-000083,No Decision,wildcad,wildcad,,,,,,{B77DFB1C-3E0B-4093-BA65-97F02D371B45},2021/01/14 22:10:16,2021/01/13 21:42:46
27,-108.2545,46.54361,200087,,DEFAULT,,,,1610631528313,1256.0,1000.0,MTBDC,,,,Minimal,,,,Human,Other Human Cause,,NS5N,,2021/01/13 21:30:00,Type 4 Incident,,0.0,100.0,0.0,0.0,,,NRCC,2021/01/15 22:44:59,2021/01/15 12:59:59,2021/01/15 22:44:59,U,Type 4 IC,North Delphia,"8 miles North of Delphia, MT",WF,FI,46.54361,-108.2545,,2021/01/13 21:30:59,{7779C745-B2E8-4C96-9216-31E93207F3A5},,0,1.0,0.0,0,0.0,0.0,0.0,1,210017,1610751373617,95.0,100.0,Delphia,Musselshell,MTBDC,30065,,,,Private,Private,,,,,,,NR13,C&L,MTLG23,US-MT,Grass,GR2,Timber (Grass and Understory),,22.0,2021-MTLG23-210017,No Decision,wildcad,ics209,,,,,,{C591431B-3229-40A7-9FE2-76F5908A373F},2021/01/15 22:56:13,2021/01/14 13:38:48
