,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
2,-116.8653,33.2710000000001,187265,,DEFAULT,,,,1599275200083,0.1,1.0,CASBCC,,,,,,,,Unknown,,,,,2020/09/04 18:32:57+00,,,,,,,,,OSCC,,,,,,FIELD,,WF,FI,33.271,-116.8653,,,{7EB83AD5-724C-475D-B23A-838E2B207D33},,0,0.0,0.0,0,0.0,0.0,,1,13337,1613231722000,,,,San Diego,CAMVIC,6073,BIA,CASCA,,,,,,,,,,SC11,BIA,CASCA,US-CA,,,,,,2020-CASCA-013337,No Decision,wildcad,wildcad,,,,,,{15C99AD1-F322-430A-B74F-7F0529245937},2021/02/13 15:55:22+00,2020/09/05 03:06:40+00
4,-100.4835,44.5072200000001,200119,,DEFAULT,,,,1610649884897,734.0,1.0,SDGPC,,,,Active,,,,Unknown,,,NS5Y,,2021/01/14 18:10:00+00,Type 3 Incident,,0.0,100.0,0.0,0.0,PN,1522.0,RMCC,2021/01/16 21:30:00+00,2021/01/14 17:45:00+00,2021/01/16 21:30:00+00,F,Type 3 Team,Pivot CA,North of Pierre and West of HWY 1804 on 199th St.,WF,FI,44.50723,-100.4836,,,{66CFD964-F8FA-4AB0-B516-DD944D6E984F},,0,1.0,0.0,0,0.0,0.0,0.0,1,210036,1613231052957,100.0,100.0,Pierre,Hughes,SDGPC,46065,,,,Private,Private,,,,,,,RM53,DWF,SDSDS,US-SD,,,Tall Grass (2.5 feet),Brush (2 feet),,2021-SDSDS-210036,No Decision,wildcad,wildcad,,,,,,{DACD1C6C-AC76-48E3-8D17-CC1AFE4708E2},2021/02/13 15:44:12+00,2021/01/14 18:44:44+00
10,-81.265,27.6869444000001,201155,,DEFAULT,,,,1611954226810,3378.0,,FLFIC,,,,Minimal,Creeping,,,Human,,,,,2021/01/26 20:29:59+00,Type 4 Incident,,0.0,0.0,100.0,0.0,,,SACC,2021/01/31 18:59:59+00,2021/01/31 18:00:00+00,2021/01/31 18:59:59+00,F,Type 4 IC,Area 6 North,"East of Avon Park, FL. North central area of Avon Park Air Force Range lands",WF,FI,,,,,{A92932FB-9F0D-47E6-9B25-83B4CA3A1442},,0,,,0,,,0.0,1,210001,1612300056530,100.0,100.0,Avon Park,Polk,FLFIC,12105,,,,DOD,Federal,,,,,,,SA48,USAF,FLAPQ,US-FL,,,Timber (Grass and Understory),Brush (2 feet),13.0,2021-FLAPQ-210001,No Decision,ics209,ics209,,,,,,{C2682F96-FFFF-4DE7-9771-EC1110553774},2021/02/02 21:07:36+00,2021/01/29 21:03:46+00
17,-88.7222222,30.5500000000001,201329,,DEFAULT,,,,1612359310110,171.0,,MSMIC,,,,Active,Running,,,Unknown,,,,,2021/02/02 20:15:00+00,Type 5 Incident,,25.0,75.0,0.0,0.0,,,SACC,2021/02/03 02:00:00+00,2021/02/02 20:29:59+00,2021/02/03 02:00:00+00,F,Type 5 IC,Jim Ramsay Rd,9000 Jim Ramsay Rd,WF,FI,,,,,{B6F23CF5-9F73-4819-AABF-B6572AD83A99},,0,,,0,,,0.0,1,7960,1612360044213,100.0,100.0,Vancleave,Jackson,MSMIC,28059,,,,Private,Private,,,,,,,SA21B,FC,MSMSS,US-MS,,,Southern Rough,,5.0,2021-MSMSS-007960,No Decision,ics209,ics209,,,,,,{17191CBE-6877-4BB1-87D0-9613E7D35F28},2021/02/03 13:47:24+00,2021/02/03 13:35:10+00
18,-94.33707,31.0711400000001,201359,,DEFAULT,,,,1612390300637,475.0,1.0,TXTIC,,,,,,,,Unknown,,,NTV4,,2021/02/03 21:23:00+00,,,,,,,,,SACC,,,,,,Rockwall Church,,WF,FI,31.071140000000003,-94.33707,,,{3182AB2C-8A54-4220-BB97-5C811D249B80},,0,1.0,0.0,0,0.0,1.0,,1,39,1612482759250,,,,Angelina,TXTIC,48005,FS,TXTXF,,USFS,Federal,,,,,,,SA12,FS,TXTXF,US-TX,,,,,,2021-TXTXF-000039,No Decision,wildcad,wildcad,,,,,,{8F5796B8-997E-47E5-A3B7-05D350318360},2021/02/04 23:52:39+00,2021/02/03 22:11:40+00
42,-81.0866667,27.8566667000001,201692,,DEFAULT,,,,1612928312277,430.0,,FLFIC,,,,Moderate,,,,,,,,,2021/02/09 20:51:00+00,Type 5 Incident,,0.0,100.0,0.0,0.0,,,SACC,2021/02/10 03:29:00+00,2021/02/10 03:17:00+00,2021/02/10 03:29:00+00,F,Type 5 IC,SMUTGRASS,"ADAMS RANCH- STR 24 30S 32E - 15 MI NW OF YEEHAW JUNCTION, FL",WF,FI,,,,,{91795388-FC58-4F78-8B44-793C1CB367C5},,0,,,0,,,0.0,1,120072,1612928332677,100.0,100.0,,Osceola,FLFIC,12097,,,,Private,Private,,,,,,,SA48,DVF,FLFLS,US-FL,,,Timber (Grass and Understory),Short Grass (1 foot),7.0,2021-FLFLS-120072,No Decision,ics209,wfdss,,,,,,{5A5DA063-AF96-4FB4-BBA4-0364FA05CF54},2021/02/10 03:38:52+00,2021/02/10 03:38:32+00
48,-110.7653,31.8605000000001,201753,,DEFAULT,,,,1613077720910,25.0,25.0,AZADC,,,,,,,,Unknown,,,NT2K,,2021/02/11 18:27:00+00,,,,,,,PN,1522.0,SWCC,,,,,,HARTS,,WF,FI,31.84783,-110.7602,0.25,,{F6F380A4-4D0E-4964-8D56-651E1A72D356},,0,1.0,0.0,0,0.0,0.0,,1,112,1613226324667,,,,Pima,AZTDC,4019,,,,Private,Private,,,,,,,SW06S,SF,AZA3S,US-AZ,,,,,,2021-AZA3S-000112,No Decision,wildcad,wildcad,,,,,,{B263A799-9613-4E58-B8ED-442045C07C66},2021/02/13 14:25:24+00,2021/02/11 21:08:40+00
50,-118.21391000000001,33.8524800000001,201790,,DEFAULT,,,,1613247039583,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/02/13 20:06:29+00,,,,,,,,,OSCC,,,,,,LAC-050510,,WF,FI,33.85248,-118.21391000000001,,,{2013BDD2-7863-4156-9462-557417072A31},,0,,,0,,,,1,50510,1613247073017,,,,Los Angeles,CALACC,6037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-050510,No Decision,lacocad,wfdss,,,,,,{FA26B6C5-DB14-41B4-BA7A-8600AF6A730D},2021/02/13 20:11:13+00,2021/02/13 20:10:39+00
51,-116.937882,32.731071,201791,,DEFAULT,,,,1613247528683,,0.1,CAMVIC,,,,,,,,Unknown,,,,,2021/02/13 20:18:36+00,,,,,,,,,OSCC,,,,,,MILLAR,,WF,FI,32.731071,-116.937882,,,{5CFE8874-DC87-43F2-BB22-E2E0397F40A5},,0,,,0,,,,1,3036,1613247660277,,,,San Diego,CAMVIC,6073,,,,Private,Private,,,,,,,SC08,CDF,CAMVU,US-CA,,,,,,2021-CAMVU-003036,No Decision,cfcad,cfcad,,,,,,{984DEDD7-3959-42EA-813A-B6324E062F94},2021/02/13 20:21:00+00,2021/02/13 20:18:48+00
52,-116.45,33.8483900000001,201793,,DEFAULT,,,,1613255884823,0.1,1.0,CASBCC,,,,,,,,Unknown,,,NT2U,,2021/02/13 22:10:00+00,,,,,,,,,OSCC,,,,,,TRAIN,,WF,FI,33.845025,-116.45729399999999,,,{BAA74E68-CFC1-496B-8723-556F576E3F5A},,0,0.0,0.0,0,0.0,0.0,,1,3013,1613256788660,,,,Riverside,CARRCC,6065,,,,Private,Private,,,,,,,SC12,BIA,CASCA,US-CA,,,,,,2021-CASCA-003013,No Decision,wildcad,wildcad,,,,,,{78EB6591-FCEB-415E-A0A1-35851845140A},2021/02/13 22:53:08+00,2021/02/13 22:38:04+00
53,-110.7203,31.87697,201795,,DEFAULT,,,,1613264913603,162.0,1.0,AZTDC,,,,,,,,Unknown,,,NT2V,,2021/02/13 23:42:59+00,,,,,,,P3,305.0,SWCC,,,,,,MULBERRY,,WF,FI,31.84475,-110.7289,25.0,,{044D86E3-A2BE-460B-8078-5C4432A3259A},,0,1.0,0.0,0,0.0,0.0,,1,68,1613320573743,,,,Pima,AZTDC,4019,FS,AZCNF,,USFS,Federal,,,,,,,SW06S,FS,AZCNF,US-AZ,,,,,,2021-AZCNF-000068,No Decision,wildcad,wildcad,,,,,,{1BC486FC-D96C-410A-A8A1-1CCE7D01A458},2021/02/14 16:36:13+00,2021/02/14 01:08:33+00
54,-118.20996000000001,33.9251100000001,201796,,DEFAULT,,,,1613267799610,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/02/14 01:51:05+00,,,,,,,,,OSCC,,,,,,LAC-050840,,WF,FI,33.92511,-118.20996000000001,,,{DE441894-4930-4495-8F27-A429DF65E4CA},,0,,,0,,,,1,50840,1613267854657,,,,Los Angeles,CALACC,6037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-050840,No Decision,lacocad,wfdss,,,,,,{2C357D0F-52CD-4A4F-9F86-D57D7F0A2688},2021/02/14 01:57:34+00,2021/02/14 01:56:39+00
55,-121.081255,37.217045,201797,,DEFAULT,,,,1613275093253,,0.1,CAMMCC,,,,,,,,Unknown,,,,,2021/02/14 03:58:05+00,,,,,,,,,OSCC,,,,,,TAGLIO,,WF,FI,37.217045,-121.081255,,,{F5575525-9972-4A27-9A8E-0155221DE1E7},,0,,,0,,,,1,3302,1613275295540,,,,Merced,CAMMCC,6047,,,,Private,Private,,,,,,,SC06,CDF,CAMMU,US-CA,,,,,,2021-CAMMU-003302,No Decision,cfcad,cfcad,,,,,,{C725AE40-F15F-45D6-8119-FE57E4CC30C7},2021/02/14 04:01:35+00,2021/02/14 03:58:13+00
56,-117.9341,34.5652000000001,201799,,DEFAULT,,,,1613284119640,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/02/14 06:23:56+00,,,,,,,,,OSCC,,,,,,LAC-051077,,WF,FI,34.5652,-117.9341,,,{9ACE3A18-5E3E-4905-AD5F-7EB6F5C87B70},,0,,,0,,,,1,51077,1613284138423,,,,Los Angeles,CALACC,6037,,,,Private,Private,,,,,,,SC15,C&L,CALAC,US-CA,,,,,,2021-CALAC-051077,No Decision,lacocad,wfdss,,,,,,{64061DA2-65FA-4B0A-BAF8-46B4E4365A29},2021/02/14 06:28:58+00,2021/02/14 06:28:39+00
57,-118.17036,34.703990000000005,201800,,DEFAULT,,,,1613294320897,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/02/14 09:14:29+00,,,,,,,,,OSCC,,,,,,LAC-051194,,WF,FI,34.68933,-118.16968999999999,,,{543248D9-EC15-414E-9695-57E7F230CBD8},,0,,,0,,,,1,51194,1613294561330,,,,Los Angeles,CALACC,6037,,,,Private,Private,,,,,,,SC15,C&L,CALAC,US-CA,,,,,,2021-CALAC-051194,No Decision,lacocad,lacocad,,,,,,{0957A2B9-951E-48D6-A79B-C8CA0985027B},2021/02/14 09:22:41+00,2021/02/14 09:18:40+00
58,-118.167,33.9220100000001,201802,,DEFAULT,,,,1613302118903,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/02/14 11:23:59+00,,,,,,,,,OSCC,,,,,,LAC-051258,,WF,FI,33.92201,-118.167,,,{8221664E-521B-47F4-9E8C-DAD5378FBEF4},,0,,,0,,,,1,51258,1613302183067,,,,Los Angeles,CALACC,6037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-051258,No Decision,lacocad,wfdss,,,,,,{E50407B5-6ABC-474C-8CB7-7BEEE5CAD1AC},2021/02/14 11:29:43+00,2021/02/14 11:28:38+00
59,-118.169,33.96437,201803,,DEFAULT,,,,1613306559230,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/02/14 12:37:20+00,,,,,,,,,OSCC,,,,,,LAC-051295,,WF,FI,33.96437,-118.169,,,{E60F60D4-9618-4B9B-B0BB-0EED57B1EAB1},,0,,,0,,,,1,51295,1613306572560,,,,Los Angeles,CALACC,6037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-051295,No Decision,lacocad,wfdss,,,,,,{2A731B79-FA37-4DF7-AF80-01EAA52C3FDB},2021/02/14 12:42:52+00,2021/02/14 12:42:39+00
62,-119.28801999999999,36.7312880000001,201813,,DEFAULT,,,,1613346655597,,0.1,CAFKCC,,,,,,,,Unknown,,,,,2021/02/14 23:50:44+00,,,,,,,,,OSCC,,,,,,KINGS,,WF,FI,36.731288,-119.28801999999999,,,{BB34E080-AAEE-473B-9B16-92FCE56B6BE9},,0,,,0,,,,1,2437,1613346729110,,,,Fresno,CASICC,6019,,,,Private,Private,,,,,,,SC04,CDF,CAFKU,US-CA,,,,,,2021-CAFKU-002437,No Decision,cfcad,cfcad,,,,,,{892FE0F2-DA8C-418D-98B1-9B6105604E6B},2021/02/14 23:52:09+00,2021/02/14 23:50:55+00
63,-118.17322,33.9640900000001,201821,,DEFAULT,,,,1613353957733,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/02/15 01:48:18+00,,,,,,,,,OSCC,,,,,,LAC-051855,,WF,FI,33.96409,-118.17322,,,{AF4BAD6B-A7E4-4646-810B-A2F16B05F1B6},,0,,,0,,,,1,51855,1613353975457,,,,Los Angeles,CALACC,6037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-051855,No Decision,lacocad,wfdss,,,,,,{BA7BC4C1-7709-49E8-9154-639ACC562931},2021/02/15 01:52:55+00,2021/02/15 01:52:37+00
64,-118.17048,33.949709999999996,201826,,DEFAULT,,,,1613371480977,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/02/15 06:37:21+00,,,,,,,,,OSCC,,,,,,LAC-052083,,WF,FI,33.949709999999996,-118.17048,,,{07259947-6FD6-4A1C-8A5D-33B476A7CB64},,0,,,0,,,,1,52083,1613371528773,,,,Los Angeles,CALACC,6037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-052083,No Decision,lacocad,wfdss,,,,,,{0B752FA6-16AE-409A-95EC-D8BA87EA549B},2021/02/15 06:45:28+00,2021/02/15 06:44:40+00
65,-118.3439,33.93019,201827,,DEFAULT,,,,1613407239517,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/02/15 16:35:39+00,,,,,,,,,OSCC,,,,,,LAC-052356,,WF,FI,33.93019,-118.3439,,,{B280A348-D6DA-4E1C-8D4A-295C2963A421},,0,,,0,,,,1,52356,1613407303933,,,,Los Angeles,CALACC,6037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-052356,No Decision,lacocad,wfdss,,,,,,{D18D224D-FD00-4B5F-8D0F-8E959D1E959F},2021/02/15 16:41:43+00,2021/02/15 16:40:39+00
66,-117.8702,33.9962100000001,201835,,DEFAULT,,,,1613414917963,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/02/15 18:43:34+00,,,,,,,,,OSCC,,,,,,LAC-052470,,WF,FI,33.99621,-117.8702,,,{1C7A8AC3-6F30-43C8-AE15-ECAF58F99C80},,0,,,0,,,,1,52470,1613414951237,,,,Los Angeles,CALACC,6037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-052470,No Decision,lacocad,wfdss,,,,,,{5F2BBE31-0F05-4A28-BF3E-DD37E7450FA2},2021/02/15 18:49:11+00,2021/02/15 18:48:37+00
67,-120.83534399999999,35.6742770000001,201837,,DEFAULT,,,,1613422114310,,0.1,CASLCC,,,,,,,,Unknown,,,,,2021/02/15 20:48:22+00,,,,,,,,,OSCC,,,,,,ROCK,,WF,FI,35.674277000000004,-120.83534399999999,,,{0CD078C0-5487-4C8E-BDEF-3AC722B348AD},,0,,,0,,,,1,2352,1613423346693,,,,San Luis Obispo,CASLCC,6079,,,,Private,Private,,,,,,,SC07,CDF,CASLU,US-CA,,,,,,2021-CASLU-002352,No Decision,cfcad,cfcad,,,,,,{CFBA4CD8-8CB0-4ECE-8903-95A88E6D385B},2021/02/15 21:09:06+00,2021/02/15 20:48:34+00
68,-114.5449,32.73965,201838,,DEFAULT,,,,1613429816173,0.25,0.1,AZPDC,,,,,,,,Unknown,,,NT23,,2021/02/15 21:49:00+00,,,,,,,,,SWCC,,,,,,Date,,WF,FI,32.82824,-114.4516,,,{30CA0780-2222-48FF-A047-51E66FD0F421},,0,1.0,0.0,0,0.0,1.0,,1,101,1613439975420,,,,Yuma,AZPDC,4027,BIA,AZFYA,,BIA,Federal,,,,,,,SW03,BLM,AZCRD,US-AZ,,,,,,2021-AZCRD-000101,No Decision,wildcad,wildcad,,,,,,{AB08943A-A5B6-44F2-981A-87D793C30679},2021/02/16 01:46:15+00,2021/02/15 22:56:56+00
69,-118.0115,34.0589200000001,201865,,DEFAULT,,,,1613442878183,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/02/16 02:29:27+00,,,,,,,,,OSCC,,,,,,LAC-052922,,WF,FI,34.05892,-118.0115,,,{C8C0E41D-D184-4DC3-97BB-4133AE1B136F},,0,,,0,,,,1,52922,1613442931217,,,,Los Angeles,CALACC,6037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-052922,No Decision,lacocad,wfdss,,,,,,{B790F78E-2C66-44A7-95D9-C9E2D7B3E5B6},2021/02/16 02:35:31+00,2021/02/16 02:34:38+00
