,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
6,-77.09138890000001,35.2708333,150533,,DEFAULT,,,,1580920351650,150.0,,NCNCC,,,2020/05/05 18:57:50,Active,Running,,,Unknown,Investigated but Undetermined,,,,2020/02/04 19:30:00,Type 5 Incident,,0.0,100.0,0.0,0.0,,,SACC,2020/02/05 00:59:59,2020/02/04 19:43:00,2020/02/05 00:59:59,F,Type 5 IC,Beaverdam Rd,3 miles Southeast of Vanceboro off Beaverdam Road,WF,FI,,,,,{7E4DB79F-8DE0-4F48-9FF8-ECAE980BA9D3},,0,,,0,,,,1,200002,1608217461313,100.0,100.0,Vanceboro,Craven,NCNCC,37049,DFR,NCNCS,,Private,Private,,,,,,,SA34,DFR,NCNCS,US-NC,Timber,TU3,Timber (Litter and Understory),,26.0,2020-NCNCS-200002,No Decision,ics209,INFORM_Inspector,,,,,,{8976BB1C-0F31-4467-912B-095BF010342C},2020/12/17 15:04:21,2020/02/05 16:32:31
4,-78.6233333,34.843888899999996,148622,,DEFAULT,,,,1583263555810,160.0,,NCNCC,,,2020/12/14 19:58:50,Active,Running,,,Unknown,Cause and Origin Not Identified,,,,2020/03/02 17:03:00,Type 5 Incident,,0.0,100.0,0.0,0.0,,,SACC,2020/03/03 13:46:00,2020/03/02 17:03:00,2020/03/03 13:46:00,F,Type 5 IC,Old Fayetteville Road,3/4 of a mile Northeast of Hwy 1002 & 1/2 mile northwest of F L McDaniel Rd.,WF,FI,,,,,{312A4385-1B28-4DEB-A39D-8E179E31D35A},,0,,,0,,,,1,200005,1608217488657,100.0,100.0,White Oak,Bladen,NCNCC,37017,DFR,NCNCS,,Private,Private,,,,,,,SA33,DFR,NCNCS,US-NC,,,Short Grass (1 foot),,24.0,2020-NCNCS-200005,No Decision,ics209,INFORM_Inspector,,,,,,{5FD166FD-7E80-42AF-B7BE-202EE21BBF9F},2020/12/17 15:04:48,2020/03/03 19:25:55
8,-79.7572222,34.8080556,153410,,DEFAULT,,,,1586108255787,150.0,,NCNCC,,,2020/05/07 17:14:55,Active,Running,,,Human,,,,,2020/04/04 19:44:59,Type 4 Incident,,0.0,100.0,0.0,0.0,,,SACC,2020/04/05 00:00:00,2020/04/04 19:44:59,2020/04/05 00:00:00,F,Type 4 IC,Osborne Swamp,6.2 miles WSW of Hamlet and less than .10 of a mile from the South Carolina line,WF,FI,,,,,{752849AA-966B-4C22-92D7-707E69017FBD},,0,,,0,,,,1,200013,1607976046457,99.0,100.0,Hamlet,Richmond,NCNCC,37153,DFR,NCNCS,,Private,Private,,,,,,,SA32,DFR,NCNCS,US-NC,,,Southern Rough,,15.0,2020-NCNCS-200013,No Decision,ics209,INFORM_Inspector,,,,,,{163D8FC7-0797-4789-804E-51C0F10F45C7},2020/12/14 20:00:46,2020/04/05 17:37:35
9,-122.39968600000002,38.694337,164199,,DEFAULT,,,,1590168849713,112.0,0.1,CALNCC,,,,,,,,Natural,Lightning,,M4QH,,2020/05/22 17:34:01,,,,,,,,,ONCC,,,,,,SPANISH,,WF,FI,38.694337,-122.39968600000002,,,{F828329C-689D-4251-9784-BC70412E6FB2},,0,,,0,,,,1,7483,1608144457877,,,,Napa,CALNCC,6055,,CALNU,,Private,Private,,,,,,,NC02,,CALNU,US-CA,,,,,,2020-CALNU-007483,No Decision,cfcad,INFORM_Inspector,,,,,,{D6EC541C-7642-419D-B98B-210C4090A2A4},2020/12/16 18:47:37,2020/05/22 17:34:09
10,-109.0734,45.70086,173822,,DEFAULT,,,,1594417430460,244.0,50.0,MTBDC,,,,Minimal,,,,Natural,Lightning,,M9B8,,2020/07/10 21:27:59,Type 4 Incident,,0.0,100.0,0.0,0.0,,1502.0,NRCC,2020/07/11 21:30:00,2020/07/10 21:30:00,2020/07/11 21:30:00,F,Type 4 IC,LE Peterson,"10 miles NE of Columbus, MT",WF,FI,45.70086,-109.0734,244.0,,{958BBDB8-4ABA-49E0-AACD-9BBEAE2EF7CB},,0,1.0,0.0,0,0.0,0.0,0.0,1,200219,1608317528790,100.0,100.0,,Stillwater,MTBDC,30095,DNRC,MTSOS,,State,Other,,,,,,,NR14,C&L,MTLG32,US-MT,,,Timber (Grass and Understory),,52.0,2020-MTLG32-200219,No Decision,wildcad,INFORM_Inspector,,,,,,{50D7066C-9E02-45B5-83CA-D4039464B61E},2020/12/18 18:52:08,2020/07/10 21:43:50
11,-120.76155,41.063783,175844,,DEFAULT,21622.4862,,,1595274165177,22634.0,0.1,CASIFC,,,,Minimal,Smoldering,Creeping,Single Tree Torching,Unknown,,,NAD6,,2020/07/20 19:18:22,Type 3 Incident,,0.0,100.0,0.0,0.0,,,ONCC,2020/08/12 22:44:59,2020/08/12 00:59:59,2020/08/12 22:44:59,F,Type 3 IC,GOLD,5 miles south of the town of Adin on Hwy 139,WF,FI,41.063783,-120.76155,,,{E180DEC7-DA19-459B-9727-B2AE2C2BE0DE},,0,1.0,0.0,0,0.0,0.0,0.0,1,3917,1608600415763,100.0,100.0,Adin,Lassen,CAMICC,6035,FS,CAMDF,,USFS,Federal,,,,,,,NC06,,CALMU,US-CA,,,Timber (Grass and Understory),Timber (Litter and Understory),4.0,2020-CALMU-003917,Approved Decision,IROC,cfcad,,,,Type 2 Incident,2020/08/02 18:54:47,{9EBED166-05E7-4C9D-A8FB-A9AB50FB45C7},2020/12/22 01:26:55,2020/07/20 19:42:45
12,-110.0366,45.73811,177978,,DEFAULT,,,,1596068081723,143.0,0.1,MTBDC,,,,Minimal,,,,Unknown,Cause and Origin Not Identified,,NB8Y,,2020/07/29 23:39:00,Type 3 Incident,,0.0,100.0,0.0,0.0,PN,1502.0,NRCC,2020/07/31 00:00:00,2020/07/30 14:00:00,2020/07/31 00:00:00,F,Type 3 IC,WHISTLE CREEK,7 miles South of Big Timber,WF,FI,45.73811,-110.0366,143.0,,{1B2B8D0F-5983-4F81-B7C2-23B5B916407A},,0,1.0,0.0,0,0.0,0.0,0.0,1,200319,1608318179420,100.0,100.0,Big Timber,Sweet Grass,MTBDC,30097,,,,Private,Private,,,,,,,NR11,C&L,MTLG40,US-MT,Grass,GR2,Timber (Litter and Understory),,27.0,2020-MTLG40-200319,No Decision,wildcad,INFORM_Inspector,,,,,,{F1E64614-408D-4FD1-B6D6-C6A9525723D9},2020/12/18 19:02:59,2020/07/30 00:14:41
13,-79.6841667,35.0972222,178425,,DEFAULT,,,,1596289457903,102.0,,NCNCC,,,2020/08/05 17:15:20,Moderate,Spotting,,,Natural,Lightning,,,,2020/07/31 19:25:00,Type 5 Incident,,0.0,100.0,0.0,0.0,,,SACC,2020/08/01 00:59:59,2020/07/31 19:25:00,2020/08/01 00:59:59,F,Type 5 IC,Basket Lane,Northern Richmond Co. off Fire Tower Rd and Basket Lane on Sandhill Game Lands,WF,FI,,,,,{2A884E5F-73AB-42F0-9109-198DF1DF735F},,0,,,0,,,0.0,1,200023,1608211838860,99.0,100.0,Ellerbe,Richmond,NCNCC,37153,DFR,NCNCS,,State,Other,,,,,,,SA32,DFR,NCNCS,US-NC,,,Timber (Grass and Understory),,5.0,2020-NCNCS-200023,No Decision,ics209,INFORM_Inspector,,,,,,{49421734-D237-4403-AD9C-BBD1279E1183},2020/12/17 13:30:38,2020/08/01 13:44:17
14,-108.7099,46.04994,179943,,DEFAULT,,,,1596889142490,95.0,95.0,MTBDC,,,,,,,,Unknown,Cause and Origin Not Identified,,,,2020/03/12 04:09:00,,,,,,,,,NRCC,,,,,,Oswald Rd,,WF,FI,46.05,-108.71,,,{86456601-ED9F-49B0-A991-AD0632A5F0AC},,0,0.0,0.0,0,0.0,0.0,,1,200409,1608562518260,,,,Yellowstone,MTBDC,30111,,,,Private,Private,,,,,,,NR14,C&L,MTLG03,US-MT,,,,,,2020-MTLG03-200409,No Decision,wildcad,INFORM_Inspector,,,,,,{94FCE620-25A3-41F2-8E08-1A1FA2AC1A99},2020/12/21 14:55:18,2020/08/08 12:19:02
15,-108.4679,45.85994,180167,,DEFAULT,,,,1596954503860,20.0,20.0,MTBDC,,,,,,,,Unknown,Cause and Origin Not Identified,,,,2020/07/14 15:46:00,,,,,,,,,NRCC,,,,,,MM 6 & Hwy 87 N,,WF,FI,45.85994,-108.4679,,,{2047F4BB-4071-40D2-A637-47C6DE1857A9},,0,0.0,0.0,0,0.0,0.0,,1,200515,1608561469003,,,,Yellowstone,MTBDC,30111,,,,Private,Private,,,,,,,NR14,C&L,MTLG03,US-MT,,,,,,2020-MTLG03-200515,No Decision,wildcad,INFORM_Inspector,,,,,,{4BD2A182-6941-4534-92C7-2086A90BDE92},2020/12/21 14:37:49,2020/08/09 06:28:23
16,-108.8399,46.03994,180171,,DEFAULT,,,,1596955482060,10.9,10.9,MTBDC,,,,,,,,Unknown,Cause and Origin Not Identified,,,,2020/07/16 15:11:00,,,,,,,,,NRCC,,,,,,MM 28 Highway 3 No. 2,,WF,FI,46.03994,-108.8399,,,{1AE65CE9-ED09-4899-A0B6-227F823F22FD},,0,0.0,0.0,0,0.0,0.0,,1,200519,1608562644313,,,,Yellowstone,MTBDC,30111,,,,Private,Private,,,,,,,NR14,C&L,MTLG03,US-MT,,,,,,2020-MTLG03-200519,No Decision,wildcad,INFORM_Inspector,,,,,,{E17DDFA9-6B10-4F00-870D-667D622B1A32},2020/12/21 14:57:24,2020/08/09 06:44:42
17,-108.8399,46.03994,180172,,DEFAULT,,,,1596955630650,10.9,10.9,MTBDC,,,,,,,,Unknown,Cause and Origin Not Identified,,,,2020/07/16 21:30:00,,,,,,,,,NRCC,,,,,,MM 28 Highway 3 No. 3,,WF,FI,46.03994,-108.8399,,,{A08A48D2-9DCA-4F3D-993F-179CA7357E0A},,0,0.0,0.0,0,0.0,0.0,,1,200520,1608562498933,,,,Yellowstone,MTBDC,30111,,,,Private,Private,,,,,,,NR14,C&L,MTLG03,US-MT,,,,,,2020-MTLG03-200520,No Decision,wildcad,INFORM_Inspector,,,,,,{BEE39850-FEC2-4DFF-BC77-C52B4247E393},2020/12/21 14:54:58,2020/08/09 06:47:10
18,-108.4632,45.86844,180173,,DEFAULT,,,,1596955812743,20.0,20.0,MTBDC,,,,,,,,Unknown,Cause and Origin Not Identified,,,,2020/07/16 22:12:59,,,,,,,,,NRCC,,,,,,MM 6 Hwy 87 No. 2,,WF,FI,45.86844,-108.4632,,,{4BC27793-AB4A-4730-BB15-9EDC429B2D0D},,0,0.0,0.0,0,0.0,0.0,,1,200521,1608561634443,,,,Yellowstone,MTBDC,30111,,,,Private,Private,,,,,,,NR14,C&L,MTLG03,US-MT,,,,,,2020-MTLG03-200521,No Decision,wildcad,INFORM_Inspector,,,,,,{4338509C-4E56-4F09-A2C8-B837447ADA7B},2020/12/21 14:40:34,2020/08/09 06:50:12
19,-108.6723,46.57142,180193,,DEFAULT,,,,1596978546360,150.0,150.0,MTBDC,,,,,,,,Unknown,Cause and Origin Not Identified,,,,2020/07/23 09:04:00,,,,,,,,,NRCC,,,,,,North Alec Roy,,WF,FI,45.57148,-108.6725,,,{520D862B-5FB6-413A-AB0C-14725806770E},,0,0.0,0.0,0,0.0,0.0,,1,200544,1608328575327,,,,Musselshell,MTBDC,30065,,,,Private,Private,,,,,,,NR13,C&L,MTLG23,US-MT,,,,,,2020-MTLG23-200544,No Decision,wildcad,INFORM_Inspector,,,,,,{4B0C1D33-73D8-459A-81C8-3513081A4B6F},2020/12/18 21:56:15,2020/08/09 13:09:06
20,-108.88,45.94327,180373,,DEFAULT,,,,1597021644303,63.0,63.0,MTBDC,,,,,,,,Unknown,Cause and Origin Not Identified,,,,2020/07/30 01:56:00,,,,,,,,,NRCC,,,,,,Buffalo Trail/Ballard Ivie Rd,,WF,FI,45.94327,-108.88,,,{7D3B8B19-E0D8-4D10-8D41-13CE7F7B996F},,0,0.0,0.0,0,0.0,0.0,,1,200559,1608562380960,,,,Yellowstone,MTBDC,30111,,,,Private,Private,,,,,,,NR14,C&L,MTLG03,US-MT,,,,,,2020-MTLG03-200559,No Decision,wildcad,INFORM_Inspector,,,,,,{B6001DD8-9A98-43F3-B522-760D841C9256},2020/12/21 14:53:00,2020/08/10 01:07:24
