,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
17,-93.918697656,47.3523372220001,155510,,DEFAULT,,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1588014185700,0.1,0.2,MNMNCC,,,1970/01/01 00:00:00+00,,,,,Unknown,,,M2XC,,2020/04/24 21:55:00+00,,1970/01/01 00:00:00+00,,,,,P9,903.0,EACC,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,Ball Club Slash,,WF,FI,47.34807,-93.78402,0.1,1970/01/01 00:00:00+00,05630f4c-ca63-454d-a5d9-6d4291ae2fed,,0,1.0,1.0,0,0.0,0.0,,1,000046,1612201641633,,,,Itasca,MNMNCC,27061,BIA,MNMNA,,BIA,Federal,,,,,,,EA01,DNR,MNMNS,US-MN,,,,,,2020-MNMNS-000046,No Decision,wildcad,INFORM_Inspector,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,f6eaf784-d0b9-4665-91aa-c6142e95a2de,2021/02/01 17:47:21.633+00,2020/04/27 19:03:05.700+00
18,-109.0734,45.70086,173822,,DEFAULT,,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1594417430460,244.0,50.0,MTBDC,,,1970/01/01 00:00:00+00,Minimal,,,,Unknown,Lightning,,M9B8,,2020/07/10 21:28:00+00,Type 4 Incident,1970/01/01 00:00:00+00,0.0,100.0,0.0,0.0,,1502.0,NRCC,2020/07/11 21:30:00+00,2020/07/10 21:30:00+00,2020/07/11 21:30:00+00,F,Type 4 IC,LE Peterson,"10 miles NE of Columbus, MT",WF,FI,45.70086,-109.0734,244.0,1970/01/01 00:00:00+00,958bbdb8-4aba-49e0-aacd-9bbeae2ef7cb,,0,1.0,0.0,0,0.0,0.0,0.0,1,200219,1611591483250,100.0,100.0,,Stillwater,MTBDC,30095,DNRC,MTSOS,,State,Other,,,,,,,NR14,C&L,MTLG32,US-MT,,,Timber (Grass and Understory),,52.0,2020-MTLG32-200219,No Decision,wildcad,wildcad,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,50d7066c-9e02-45b5-83ca-d4039464b61e,2021/01/25 16:18:03.250+00,2020/07/10 21:43:50.460+00
19,-117.8433,34.286570000000005,180057,,DEFAULT,,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1596923776660,0.5,0.1,CAANCC,,,1970/01/01 00:00:00+00,,,,,Unknown,Other Human Cause,Motor Vehicle,ND48,,2020/08/08 21:50:00+00,,1970/01/01 00:00:00+00,,,,,,,OSCC,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,SMITH ,,WF,FI,34.286570000000005,-117.8433,,2020/08/08 21:50:00+00,86689b87-cb26-482a-829d-4fa520142b29,1.0,0,0.0,0.0,0,0.0,0.0,,1,003195,1612207961680,,,,Los Angeles,CAANCC,6037,FS,CAANF,,USFS,Federal,,,,,,,SC09,FS,CAANF,US-CA,Grass,GR2,,,,2020-CAANF-003195,No Decision,wildcad,wildcad,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,7867f92e-61de-4d56-bf88-257a4f6d0ee3,2021/02/01 19:32:41.680+00,2020/08/08 21:56:16.660+00
20,-123.8787,44.02833,186579,,DEFAULT,,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1598885792730,10.0,10.0,OREIC,,,1970/01/01 00:00:00+00,,,,,Unknown,,,,,2020/08/30 21:33:14+00,,1970/01/01 00:00:00+00,,,,,,,NWCC,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,386 ODF,,WF,FI,43.97525,-123.9044,,1970/01/01 00:00:00+00,d3d7cbc8-5b69-4eb5-8836-4bdb11e8f323,,0,0.0,0.0,0,0.0,0.0,,1,200386,1611688968313,,,,Lane,OREIC,41039,,,,Private,Private,,,,,,,NW03,DOF,OR781S,US-OR,,,,,,2020-OR781S-200386,No Decision,wildcad,wildcad,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,0f3b1069-c574-446a-9d25-252d2e9085d7,2021/01/26 19:22:48.313+00,2020/08/31 14:56:32.730+00
21,-122.70222220000001,42.2005556,188258,,DEFAULT,5716.6344,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1599594430343,150.0,,OR71C,,,1970/01/01 00:00:00+00,Minimal,Smoldering,Creeping,Backing,Human,Other Human Cause,,NKS4,,2020/09/08 18:35:00+00,Type 2 Incident,1970/01/01 00:00:00+00,0.0,100.0,0.0,0.0,,,NWCC,2020/10/14 01:00:00+00,2020/10/13 13:00:00+00,2020/10/14 01:00:00+00,F,Type 2 Team,Almeda Drive,North Ashland I5 MP 19,WF,FI,,,,1970/01/01 00:00:00+00,f45088f4-91be-46e1-9567-164f8addb5af,,0,1.0,0.0,0,0.0,0.0,0.0,1,025921,1611756710503,100.0,100.0,Medford,Jackson,ORRVC,41029,BLM,ORMED,,Private,Private,,,,,,,NW04,DOF,OR711S,US-OR,Grass,GR5,Tall Grass (2.5 feet),Brush (2 feet),31.0,2020-OR711S-025921,No Decision,IROC,INFORM_Inspector,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,20d0dc30-c4a2-44c8-aaeb-b76b12abd3f7,2021/01/27 14:11:50.503+00,2020/09/08 19:47:10.343+00
22,-122.2151,46.06861,188728,,DEFAULT,,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1599693769203,612.0,1.0,WAPCC,,,1970/01/01 00:00:00+00,,,,,Unknown,,,NL4F,,2020/09/08 15:02:00+00,,1970/01/01 00:00:00+00,,,,,P6,1502.0,NWCC,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,BIG HOLLOW,,WF,FI,45.94763,-121.9743,,1970/01/01 00:00:00+00,b609629c-fabf-43ef-a986-9e9e96c6fd0c,,0,1.0,1.0,0,0.0,0.0,,1,000242,1611183259493,,,,Skamania,WACCC,53059,FS,WAGPF,,USFS,Federal,,,,,,,NW02,DNR,WAPCS,US-WA,,,,,,2020-WAPCS-000242,No Decision,wildcad,wildcad,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,a976ec4a-d8ad-421c-aebc-67c9fab8a686,2021/01/20 22:54:19.493+00,2020/09/09 23:22:49.203+00
23,-92.65431,47.780559999999994,190881,,DEFAULT,,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1601473388917,0.1,0.1,MNMNCC,,,1970/01/01 00:00:00+00,,,,,Unknown,Cause and Origin Not Identified,,,,2020/04/16 19:11:25+00,,1970/01/01 00:00:00+00,,,,,,,EACC,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,Mile 86 DNR Assist,,WF,FI,47.78062,-92.6544,,1970/01/01 00:00:00+00,7d45787d-e2f1-4dc0-8f85-a5541900b756,,0,1.0,1.0,0,1.0,1.0,,1,000027,1612202966667,,,,St. Louis,MNMNCC,27137,,,,Private,Private,,,,,,,EA03,DNR,MNMNS,US-MN,,,,,,2020-MNMNS-000027,No Decision,wildcad,INFORM_Inspector,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,0be9ee47-8e19-4325-95f9-f3faaab045a9,2021/02/01 18:09:26.667+00,2020/09/30 13:43:08.917+00
26,-100.4836,44.50723,200119,,DEFAULT,,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1610649884897,734.0,1.0,SDGPC,,,1970/01/01 00:00:00+00,Active,,,,Unknown,,,NS5Y,,2021/01/14 18:10:00+00,Type 3 Incident,1970/01/01 00:00:00+00,0.0,100.0,0.0,0.0,PN,1522.0,RMCC,2021/01/16 21:30:00+00,2021/01/14 17:45:00+00,2021/01/16 21:30:00+00,F,Type 3 Team,Pivot CA,North of Pierre and West of HWY 1804 on 199th St.,WF,FI,44.50723,-100.4836,,1970/01/01 00:00:00+00,66cfd964-f8fa-4ab0-b516-dd944d6e984f,,0,1.0,0.0,0,0.0,0.0,0.0,1,210036,1611088386710,100.0,100.0,Pierre,Hughes,SDGPC,46065,,,,Private,Private,,,,,,,RM53,DWF,SDSDS,US-SD,,,Tall Grass (2.5 feet),Brush (2 feet),,2021-SDSDS-210036,No Decision,wildcad,ics209,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,dacd1c6c-ac76-48e3-8d17-cc1afe4708e2,2021/01/19 20:33:06.710+00,2021/01/14 18:44:44.897+00
27,-105.26799999999999,47.341666700000005,200180,,DEFAULT,,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1610669163727,3202.0,,MTMCC,,,1970/01/01 00:00:00+00,Active,Running,Spotting,,Human,Other Human Cause,,,,2021/01/14 00:55:00+00,Type 5 Incident,1970/01/01 00:00:00+00,0.0,100.0,0.0,0.0,,,NRCC,2021/01/14 22:00:00+00,2021/01/14 01:00:00+00,2021/01/14 22:00:00+00,F,Type 5 IC,Great Divide,"13 miles SE of Circle, MT",WF,FI,,,,1970/01/01 00:00:00+00,d8ab1f27-c152-4144-b7ae-b9e656614b5f,,0,,,0,,,0.0,1,000004,1612119560403,100.0,100.0,,Dawson,MTMCC,30021,,,,Private,Private,,,,,,,NR15,C&L,MTLG16,US-MT,,,Short Grass (1 foot),,,2021-MTLG16-000004,No Decision,ics209,INFORM_Inspector,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,e128847d-f577-466b-bf29-d074a619e2bf,2021/01/31 18:59:20.403+00,2021/01/15 00:06:03.727+00
28,-102.3431,46.00258,200285,,DEFAULT,,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1610795750523,20000.0,1.0,NDNDC,,,1970/01/01 00:00:00+00,Extreme,,,,Human,,,NS7L,,2021/01/14 22:33:00+00,Type 3 Incident,1970/01/01 00:00:00+00,0.0,100.0,0.0,0.0,PN,1502.0,NRCC,2021/01/16 00:00:00+00,2021/01/14 23:30:00+00,2021/01/16 00:00:00+00,F,Type 3 IC,Windy,4 Miles Northwest of Lemmon South Dakota,WF,FI,46.00258,-102.3431,20000.0,1970/01/01 00:00:00+00,72161559-db04-4930-a80c-d576230fa0e9,,0,1.0,0.0,0,0.0,0.0,0.0,1,210001,1611073576147,100.0,100.0,Lemmon,Adams,NDNDC,38001,,,,Private,Private,,,,,,,NR16,SFS,NDNDS,US-ND,,,Tall Grass (2.5 feet),Brush (2 feet),112.0,2021-NDNDS-210001,No Decision,wildcad,wildcad,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,3b14ad4e-3f1d-46b9-8189-9b1dbae45141,2021/01/19 16:26:16.147+00,2021/01/16 11:15:50.523+00
