,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
0,-114.222801,48.013802000000105,23884,,DEFAULT,,,,1436586288800,,0.1,MTKIC,,,,,,,,Undetermined,,,,,2015/07/11 03:12:25+00,,,,,,,,,NRCC,,,,,,Caroline Point,,WF,FI,48.013802,-114.222801,,,{CBDAA273-7929-4802-856F-E0F8D5B56C63},,0,0.0,0.0,0,0.0,0.0,,1,284,1613083618810,,,,Flathead,MTKIC,30029,,,,,,,,,,,,NR02,,MTNWS,US-MT,,,,,,2015-MTNWS-000284,,wildcad,wildcad,2015/07/11 03:44:48+00,2015/07/11 03:44:48+00,,,,{E5822784-5948-46B5-B7D5-5010748C748C},2021/02/11 22:46:58+00,2015/07/11 03:44:48+00
1,-114.360298,48.243198000000106,27394,,DEFAULT,,,,1439516288677,0.1,0.1,MTKIC,,,,,,,,Undetermined,,,,,2015/08/12 18:50:02+00,,,,,,,,,NRCC,,,,,,605 Farmview Lane,,WF,FI,48.243198,-114.360298,,,{578A126D-88F1-46EB-BE1D-5E16913E83D2},,0,0.0,0.0,0,0.0,0.0,,1,537,1613083559693,,,,Flathead,MTKIC,30029,,,,,,,,,,,,NR02,,MTNWS,US-MT,,,,,,2015-MTNWS-000537,,wildcad,wildcad,2015/08/14 01:38:08+00,2015/08/15 23:22:38+00,,,,{FE3AFF61-2538-4188-87EE-3065BFD628E9},2021/02/11 22:45:59+00,2015/08/14 01:38:08+00
2,-114.115402,48.1283000000001,33755,,DEFAULT,,,,1444753265480,,0.5,MTKIC,,,,,,,,Undetermined,,,,,2015/10/10 17:39:21+00,,,,,,,,,NRCC,,,,,,North Ramsfield,,WF,FI,48.123298999999996,-114.116501,,,{DC85768F-51F5-4FCA-A5F5-5A18D1E39106},,0,0.0,0.0,0,0.0,0.0,,1,891,1613081588963,,,,Flathead,MTKIC,30029,,,,,,,,,,,,NR02,,MTNWS,US-MT,,,,,,2015-MTNWS-000891,,wildcad,wildcad,2015/10/13 16:21:05+00,2015/10/13 16:21:05+00,,,,{BF0A3632-6A2B-4238-911F-1E358C838545},2021/02/11 22:13:08+00,2015/10/13 16:21:05+00
3,-113.7409,47.3489500000001,53313,,DEFAULT,,,,1474309377350,0.1,0.1,MTKIC,,,,,,,,Human,,,KQ1X,,2016/09/19 00:56:59+00,,,,,,,P1,110.0,NRCC,,,,,,Crystal Creek,,WF,FI,47.34744,-113.7468,0.1,,{42F749B1-1626-49ED-BA52-BF3AB361B7B7},,0,0.0,0.0,0,0.0,0.0,,1,521,1613155981903,,,,Missoula,,30063,,MTFNF,,USFS,Federal,,,,,,,NR07,FS,MTFNF,US-MT,,,,,,2016-MTFNF-000521,,wildcad,wildcad,2016/09/19 18:22:57+00,2016/09/19 22:07:57+00,,,,{FDCD779E-A44B-4F12-8978-09D670315702},2021/02/12 18:53:01+00,2016/09/19 18:22:57+00
11,-117.6761,34.2049200000001,170202,,DEFAULT,,,,1593173209910,0.3,0.2,CAANCC,,,,,,,,Unknown,Incendiary,Fireworks (Consumer or Personal Use),M7PJ,,2020/06/26 11:32:59+00,,,,,,,,,OSCC,,,,,,TUNNEL ,,WF,FI,34.20492,-117.6761,,2020/06/26 11:34:00+00,{86E26809-14FF-4C17-B330-BB870254715F},1.0,0,0.0,0.0,0,0.0,1.0,,1,2329,1613091424433,,,,Los Angeles,CAANCC,6037,FS,CAANF,,USFS,Federal,,,,,,,SC09,FS,CAANF,US-CA,Brush,SH2,,,,2020-CAANF-002329,No Decision,wildcad,wildcad,,,,,,{37A304D8-BE20-4AF2-AC53-B4323597D6ED},2021/02/12 00:57:04+00,2020/06/26 12:06:49+00
12,-122.121459,40.2793300000001,181396,,DEFAULT,,,,1597494203643,,0.1,CATGCC,,,,,,,,Unknown,,,,,2020/08/15 12:23:21+00,,,,,,,,,ONCC,,,,,,TUSCAN 2,,WF,FI,40.27933,-122.121459,,,{6DB650D7-4BC7-462B-A9F6-ED8B18E0B757},,0,,,0,,,,1,8651,1613070163130,,,,Tehama,CATGCC,6103,BLM,CANOD,,BLM,Federal,,,,,,,NC05,,CATGU,US-CA,,,,,,2020-CATGU-008651,No Decision,cfcad,cfcad,,,,,,{3E4D77A1-16EC-4067-B913-36D091413F63},2021/02/11 19:02:43+00,2020/08/15 12:23:23+00
13,-122.121459,40.2793300000001,181398,,DEFAULT,,,,1597494610737,,0.1,CATGCC,,,,,,,,Unknown,,,,,2020/08/15 12:30:08+00,,,,,,,,,ONCC,,,,,,TUSCAN 4,,WF,FI,40.27933,-122.121459,,,{3F722DC8-5F36-465B-B9ED-FC624F5E1648},,0,,,0,,,,1,8653,1613070377083,,,,Tehama,CATGCC,6103,BLM,CANOD,,BLM,Federal,,,,,,,NC05,,CATGU,US-CA,,,,,,2020-CATGU-008653,No Decision,cfcad,cfcad,,,,,,{F0C2B548-519F-4FFD-B308-43E4F34DD0B1},2021/02/11 19:06:17+00,2020/08/15 12:30:10+00
15,-118.167,45.605340000000105,183243,EK2L,DEFAULT,,,,1597955078827,0.1,0.1,ORBMC,,,,,,,,Unknown,,,,,2020/08/19 17:43:26+00,,,,,,,P6,614.0,NWCC,,,,,,874,,WF,FI,45.605340000000005,-118.167,,,{D475F98D-A719-4CE9-ACF0-17DC180C968B},,0,0.0,0.0,0,0.0,0.0,0.0,1,874,1613143404217,,,,Umatilla,ORBMC,41059,FS,ORUMF,,USFS,Federal,,,,,,,NW11,FS,ORUMF,US-OR,,,,,,2020-ORUMF-000874,No Decision,wildcad,wildcad,,,,,,{14A43927-0665-473A-A162-8776D1F3201E},2021/02/12 15:23:24+00,2020/08/20 20:24:38+00
16,-116.8653,33.2710000000001,187265,,DEFAULT,,,,1599275200083,0.1,1.0,CASBCC,,,,,,,,Unknown,,,,,2020/09/04 18:32:57+00,,,,,,,,,OSCC,,,,,,FIELD,,WF,FI,33.271,-116.8653,,,{7EB83AD5-724C-475D-B23A-838E2B207D33},,0,0.0,0.0,0,0.0,0.0,,1,13337,1613231722000,,,,San Diego,CAMVIC,6073,BIA,CASCA,,,,,,,,,,SC11,BIA,CASCA,US-CA,,,,,,2020-CASCA-013337,No Decision,wildcad,wildcad,,,,,,{15C99AD1-F322-430A-B74F-7F0529245937},2021/02/13 15:55:22+00,2020/09/05 03:06:40+00
17,-121.7699,43.5027400000001,189776,,DEFAULT,,,,1600491389487,0.1,0.1,ORCOC,,,,,,,,Natural,Lightning,,NL1B,,2020/09/19 00:33:59+00,,,,,,,PN,1502.0,NWCC,,,,,,0917 CR,,WF,FI,43.50306,-121.7698,,,{16FBFAA7-CAE6-41E8-B979-CF027CDBD641},,0,1.0,0.0,0,1.0,0.0,,1,917,1613079373953,,,,Klamath,ORCOC,41035,,,,Private,Private,,,,,,,NW07,DOF,OR991S,US-OR,,,,,,2020-OR991S-000917,No Decision,wildcad,INFORM_Inspector,,,,,,{F8EDFE39-0C9E-454C-815C-3DACA944726A},2021/02/11 21:36:13+00,2020/09/19 04:56:29+00
19,-100.4835,44.5072200000001,200119,,DEFAULT,,,,1610649884897,734.0,1.0,SDGPC,,,,Active,,,,Unknown,,,NS5Y,,2021/01/14 18:10:00+00,Type 3 Incident,,0.0,100.0,0.0,0.0,PN,1522.0,RMCC,2021/01/16 21:30:00+00,2021/01/14 17:45:00+00,2021/01/16 21:30:00+00,F,Type 3 Team,Pivot CA,North of Pierre and West of HWY 1804 on 199th St.,WF,FI,44.50723,-100.4836,,,{66CFD964-F8FA-4AB0-B516-DD944D6E984F},,0,1.0,0.0,0,0.0,0.0,0.0,1,210036,1613231052957,100.0,100.0,Pierre,Hughes,SDGPC,46065,,,,Private,Private,,,,,,,RM53,DWF,SDSDS,US-SD,,,Tall Grass (2.5 feet),Brush (2 feet),,2021-SDSDS-210036,No Decision,wildcad,wildcad,,,,,,{DACD1C6C-AC76-48E3-8D17-CC1AFE4708E2},2021/02/13 15:44:12+00,2021/01/14 18:44:44+00
26,-81.265,27.6869444000001,201155,,DEFAULT,,,,1611954226810,3378.0,,FLFIC,,,,Minimal,Creeping,,,Human,,,,,2021/01/26 20:29:59+00,Type 4 Incident,,0.0,0.0,100.0,0.0,,,SACC,2021/01/31 18:59:59+00,2021/01/31 18:00:00+00,2021/01/31 18:59:59+00,F,Type 4 IC,Area 6 North,"East of Avon Park, FL. North central area of Avon Park Air Force Range lands",WF,FI,,,,,{A92932FB-9F0D-47E6-9B25-83B4CA3A1442},,0,,,0,,,0.0,1,210001,1612300056530,100.0,100.0,Avon Park,Polk,FLFIC,12105,,,,DOD,Federal,,,,,,,SA48,USAF,FLAPQ,US-FL,,,Timber (Grass and Understory),Brush (2 feet),13.0,2021-FLAPQ-210001,No Decision,ics209,ics209,,,,,,{C2682F96-FFFF-4DE7-9771-EC1110553774},2021/02/02 21:07:36+00,2021/01/29 21:03:46+00
27,-96.17685999999999,35.56348,201176,,DEFAULT,,,,1612036849877,146.0,1.0,ARAOC,,,,,,,,Human,,,NTQ0,,2021/01/30 03:43:00+00,,,,,,,PA,1522.0,SACC,,,,,,MILE LONG,,WF,FI,35.56355,-96.17685999999999,146.0,,{33336DE0-8B80-4EEC-BAA4-CC75AC0CEF39},,0,1.0,1.0,0,0.0,0.0,,1,146,1612106403310,,,,Okmulgee,ARAOC,40111,,,,Private,Private,,,,,,,SA17A,BIA,OKOMA,US-OK,,,,,,2021-OKOMA-000146,No Decision,wildcad,wildcad,,,,,,{0CCC56C0-3C5D-418C-9A82-6EFE62180B57},2021/01/31 15:20:03+00,2021/01/30 20:00:49+00
