,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
0,-114.222801,48.013802000000105,23884,,DEFAULT,,,,1436586288800,,0.1,MTKIC,,,,,,,,Undetermined,,,,,2015/07/11 03:12:25+00,,,,,,,,,NRCC,,,,,,Caroline Point,,WF,FI,48.013802,-114.222801,,,{CBDAA273-7929-4802-856F-E0F8D5B56C63},,0,0.0,0.0,0,0.0,0.0,,1,284,1613083618810,,,,Flathead,MTKIC,30029,,,,,,,,,,,,NR02,,MTNWS,US-MT,,,,,,2015-MTNWS-000284,,wildcad,wildcad,2015/07/11 03:44:48+00,2015/07/11 03:44:48+00,,,,{E5822784-5948-46B5-B7D5-5010748C748C},2021/02/11 22:46:58+00,2015/07/11 03:44:48+00
1,-114.360298,48.243198000000106,27394,,DEFAULT,,,,1439516288677,0.1,0.1,MTKIC,,,,,,,,Undetermined,,,,,2015/08/12 18:50:02+00,,,,,,,,,NRCC,,,,,,605 Farmview Lane,,WF,FI,48.243198,-114.360298,,,{578A126D-88F1-46EB-BE1D-5E16913E83D2},,0,0.0,0.0,0,0.0,0.0,,1,537,1613083559693,,,,Flathead,MTKIC,30029,,,,,,,,,,,,NR02,,MTNWS,US-MT,,,,,,2015-MTNWS-000537,,wildcad,wildcad,2015/08/14 01:38:08+00,2015/08/15 23:22:38+00,,,,{FE3AFF61-2538-4188-87EE-3065BFD628E9},2021/02/11 22:45:59+00,2015/08/14 01:38:08+00
2,-114.115402,48.1283000000001,33755,,DEFAULT,,,,1444753265480,,0.5,MTKIC,,,,,,,,Undetermined,,,,,2015/10/10 17:39:21+00,,,,,,,,,NRCC,,,,,,North Ramsfield,,WF,FI,48.123298999999996,-114.116501,,,{DC85768F-51F5-4FCA-A5F5-5A18D1E39106},,0,0.0,0.0,0,0.0,0.0,,1,891,1613081588963,,,,Flathead,MTKIC,30029,,,,,,,,,,,,NR02,,MTNWS,US-MT,,,,,,2015-MTNWS-000891,,wildcad,wildcad,2015/10/13 16:21:05+00,2015/10/13 16:21:05+00,,,,{BF0A3632-6A2B-4238-911F-1E358C838545},2021/02/11 22:13:08+00,2015/10/13 16:21:05+00
10,-117.6761,34.2049200000001,170202,,DEFAULT,,,,1593173209910,0.3,0.2,CAANCC,,,,,,,,Unknown,Incendiary,Fireworks (Consumer or Personal Use),M7PJ,,2020/06/26 11:32:59+00,,,,,,,,,OSCC,,,,,,TUNNEL ,,WF,FI,34.20492,-117.6761,,2020/06/26 11:34:00+00,{86E26809-14FF-4C17-B330-BB870254715F},1.0,0,0.0,0.0,0,0.0,1.0,,1,2329,1613091424433,,,,Los Angeles,CAANCC,6037,FS,CAANF,,USFS,Federal,,,,,,,SC09,FS,CAANF,US-CA,Brush,SH2,,,,2020-CAANF-002329,No Decision,wildcad,wildcad,,,,,,{37A304D8-BE20-4AF2-AC53-B4323597D6ED},2021/02/12 00:57:04+00,2020/06/26 12:06:49+00
11,-117.8691,34.1859000000001,171219,,DEFAULT,,,,1593586982057,0.1,0.1,CAANCC,,,,,,,,Unknown,Investigated but Undetermined,,M75J,,2020/07/01 05:29:59+00,,,,,,,,,OSCC,,,,,,MORRIS,,WF,FI,34.1788,-117.8849,,,{B1D1C1D0-971C-455F-BD18-DD3794D6F94A},,0,0.0,0.0,0,0.0,1.0,,1,2436,1612989381123,,,,Los Angeles,CAANCC,6037,,,,Private,Private,,,,,,,SC09,FS,CAANF,US-CA,,,,,,2020-CAANF-002436,No Decision,wildcad,INFORM_Inspector,,,,,,{A3927CE5-4900-402B-86AC-1BEDFCE083CA},2021/02/10 20:36:21+00,2020/07/01 07:03:02+00
12,-122.6593,42.4916000000001,177322,,DEFAULT,,,,1595874975007,0.3,0.3,ORRVC,,,,,,,,Natural,Lightning,,NBU2,,2020/07/27 06:07:00+00,,,,,,,,,NWCC,,,,,,Obenchain,,WF,FI,42.4916,-122.6593,,2020/07/27 08:35:00+00,{2AF29B2F-2EA6-4AC0-B68A-C6E7C5B0FB05},,0,0.0,0.0,0,0.0,0.0,,1,220,1613138590643,,,,Jackson,ORRVC,41029,BLM,ORMED,,BLM,Federal,,,,,,,NW04,BLM,ORMED,US-OR,Grass-Shrub,GS2,,,,2020-ORMED-000220,No Decision,wildcad,wildcad,,,,,,{82385A5D-3F83-41E5-84DD-D00D68589FA6},2021/02/12 14:03:10+00,2020/07/27 18:36:15+00
13,-122.121459,40.2793300000001,181396,,DEFAULT,,,,1597494203643,,0.1,CATGCC,,,,,,,,Unknown,,,,,2020/08/15 12:23:21+00,,,,,,,,,ONCC,,,,,,TUSCAN 2,,WF,FI,40.27933,-122.121459,,,{6DB650D7-4BC7-462B-A9F6-ED8B18E0B757},,0,,,0,,,,1,8651,1613070163130,,,,Tehama,CATGCC,6103,BLM,CANOD,,BLM,Federal,,,,,,,NC05,,CATGU,US-CA,,,,,,2020-CATGU-008651,No Decision,cfcad,cfcad,,,,,,{3E4D77A1-16EC-4067-B913-36D091413F63},2021/02/11 19:02:43+00,2020/08/15 12:23:23+00
14,-122.121459,40.2793300000001,181398,,DEFAULT,,,,1597494610737,,0.1,CATGCC,,,,,,,,Unknown,,,,,2020/08/15 12:30:08+00,,,,,,,,,ONCC,,,,,,TUSCAN 4,,WF,FI,40.27933,-122.121459,,,{3F722DC8-5F36-465B-B9ED-FC624F5E1648},,0,,,0,,,,1,8653,1613070377083,,,,Tehama,CATGCC,6103,BLM,CANOD,,BLM,Federal,,,,,,,NC05,,CATGU,US-CA,,,,,,2020-CATGU-008653,No Decision,cfcad,cfcad,,,,,,{F0C2B548-519F-4FFD-B308-43E4F34DD0B1},2021/02/11 19:06:17+00,2020/08/15 12:30:10+00
16,-122.90133300000001,41.8050000000001,185948,,DEFAULT,,,,1598564578257,5.6,0.1,CAYICC,,,,,,,,Natural,Lightning,,NH01,,2020/08/27 21:21:07+00,,,,,,,,,ONCC,,,,,,CREEK,,WF,FI,41.805,-122.90133300000001,,2020/08/27 21:59:59+00,{293A4276-6246-484B-80F9-F78847BF1CF3},,0,1.0,0.0,0,1.0,1.0,,1,6716,1612982080397,,,,Siskiyou,CAYICC,6093,FS,CAKNF,,Private,Private,,,,,,,NC04,FS,CAKNF,US-CA,Timber,TU5,,,,2020-CAKNF-006716,No Decision,cfcad,INFORM_Inspector,,,,,,{B8E7E1DE-6C04-4068-B8D5-75D6174C1ED1},2021/02/10 18:34:40+00,2020/08/27 21:42:58+00
17,-121.7699,43.5027400000001,189776,,DEFAULT,,,,1600491389487,0.1,0.1,ORCOC,,,,,,,,Natural,Lightning,,NL1B,,2020/09/19 00:33:59+00,,,,,,,PN,1502.0,NWCC,,,,,,0917 CR,,WF,FI,43.50306,-121.7698,,,{16FBFAA7-CAE6-41E8-B979-CF027CDBD641},,0,1.0,0.0,0,1.0,0.0,,1,917,1613079373953,,,,Klamath,ORCOC,41035,,,,Private,Private,,,,,,,NW07,DOF,OR991S,US-OR,,,,,,2020-OR991S-000917,No Decision,wildcad,INFORM_Inspector,,,,,,{F8EDFE39-0C9E-454C-815C-3DACA944726A},2021/02/11 21:36:13+00,2020/09/19 04:56:29+00
18,-121.175501,38.7192830000001,197721,,DEFAULT,,,,1607228610277,,0.1,CAGVCC,,,,,,,,Unknown,,,,,2020/12/06 04:23:05+00,,,,,,,,,ONCC,,,,,,AUBURN FOLSOM RD / OAK HI,,WF,FI,38.719283000000004,-121.175501,,,{69EE0EB3-650A-4986-BFEA-3E77094D35BD},,0,,,0,,,,1,29083,1612981784653,,,,Placer,CAGVCC,6061,,,,Private,Private,,,,,,,NC05,,CANEU,US-CA,,,,,,2020-CANEU-029083,No Decision,cfcad,wfdss,,,,,,{0E293D60-6786-4EC0-BB5A-20B282B7ED6E},2021/02/10 18:29:44+00,2020/12/06 04:23:30+00
19,-116.90880600000001,32.821826,197744,,DEFAULT,,,,1607278832077,,0.1,CAMVIC,,,,,,,,Unknown,,,,,2020/12/06 18:13:32+00,,,,,,,,,OSCC,,,,,,HIGH WILDLAND,,WF,FI,32.821826,-116.90880600000001,,,{0AACCA4A-DEA6-4D59-B991-B79A83F33388},,0,,,0,,,,1,19564,1612982323557,,,,San Diego,CAMVIC,6073,,,,Private,Private,,,,,,,SC08,CDF,CAMVU,US-CA,,,,,,2020-CAMVU-019564,No Decision,cfcad,wfdss,,,,,,{7607509E-E7DE-473D-9F2F-286C4B3C5697},2021/02/10 18:38:43+00,2020/12/06 18:20:32+00
23,-93.16846,31.083000000000002,200586,EK21,DEFAULT,,,,1611087186157,5.0,1.0,LALIC,,,,,,,,Unknown,,,,,2021/01/14 23:08:00+00,,,,,,,,,SACC,,,,,,Zion Hills One.1,,WF,FI,31.083000000000002,-93.16846,,,{8ED0B52C-89C1-43F8-9D18-84A2260A2803},,0,0.0,0.0,0,0.0,0.0,,1,7,1612905286170,,,,Vernon,LALIC,22115,,,,DOD,Federal,,,,,,,SA19,FS,LAKIF,US-LA,,,,,,2021-LAKIF-000007,No Decision,wildcad,wildcad,,,,,,{4CA58D03-F8A8-4010-9D3D-8736CB6ABE3A},2021/02/09 21:14:46+00,2021/01/19 20:13:06+00
30,-81.4140399999999,26.4049400000001,201149,,DEFAULT,,,,1611944858747,1.0,1.0,FLFIC,,,,,,,,Unknown,,,NTP2,,2021/01/29 18:25:00+00,,,,,,,PA,1522.0,SACC,,,,,,Chickee Hut,,WF,FI,26.404940000000003,-81.41404,1.0,,{1251D7ED-8948-491B-8DA3-F1AC66BFCA2F},,0,1.0,0.0,0,0.0,0.0,,1,83,1612972411583,,,,Collier,FLFIC,12021,BIA,FLSEA,,BIA,Federal,,,,,,,SA50,BIA,FLSEA,US-FL,,,,,,2021-FLSEA-000083,No Decision,wildcad,wildcad,,,,,,{E294A798-F295-4573-8736-4CAC2C6739B3},2021/02/10 15:53:31+00,2021/01/29 18:27:38+00
