,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
6,-91.24166666699992,37.091666667,146908,,DEFAULT,,,,1580844450257,20.0,,MOMOC,,,,,,,,Human,Debris/Open Burning,,MZ56,,2020/02/04 19:25:00,,,,,,,,,EACC,,,,,,NN SHANNON COUNTY,,WF,FI,,,,,{30AF5A55-52D9-4032-AED9-3B904C7B7038},,0,0.0,0.0,0,0.0,0.0,,1,000001,1610553621560,,,,Shannon,MOMOC,29203,DOC,MOMOS,,Private,Private,,,,,,,EA13,NPS,MOOZP,US-MO,,,,,,2020-MOOZP-000001,No Decision,firecode,INFORM_Inspector,,,,,,{E84FFAE1-9A1B-4CBC-B3AB-6F869E2FEAE0},2021/01/13 16:00:21,2020/02/04 19:27:30
5,-89.52722220000001,30.699166700000003,146822,,DEFAULT,,,,1583191172437,2135.0,,MSMIC,,,,Extreme,Creeping,,,Human,,,,,2020/02/29 04:30:00,Type 5 Incident,,25.0,75.0,0.0,0.0,,,SACC,2020/03/02 23:00:00,2020/02/29 04:44:59,2020/03/02 23:00:00,F,Type 5 IC,Two Hollows,Two Hollows Road off Bouie Rd,WF,FI,,,,,{F9D80C3E-E479-45A6-ABAA-37D906360E8E},,0,,,0,,,,1,007063,1609872554450,100.0,100.0,,Pearl River,MSMIC,28109,FC,MSMSS,,Private,Private,,,,,,,SA22A,FC,MSMSS,US-MS,,,Timber (Litter and Understory),Timber (Grass and Understory),18.0,2020-MSMSS-007063,No Decision,ics209,INFORM_Inspector,,,,,,{78156DF6-1941-4B0C-AF6A-23E2BAFBEF8A},2021/01/05 18:49:14,2020/03/02 23:19:32
8,-92.27197,47.525859999999994,156466,,DEFAULT,,,,1588627755237,10.0,10.0,MNMNCC,,,2021/01/15 16:07:34,,,,,Unknown,Investigated but Undetermined,,M3QP,,2020/05/04 18:35:00,,,,,,,P9,,EACC,,,,,,Nobel DNR Assist,,WF,FI,47.525859999999994,-92.27197,10.0,,{AFC01DE1-0A23-4C4A-B670-1AF0EA63DF75},,0,1.0,1.0,0,0.0,0.0,,1,000069,1610746090817,,,,St. Louis,MNMNCC,27137,,,,Private,Private,,,,,,,EA03,FS,MNSUF,US-MN,,,,,,2020-MNSUF-000069,No Decision,wildcad,INFORM_Inspector,,,,,,{E8559ED5-D5A5-4AC2-BF81-6F94F531040E},2021/01/15 21:28:10,2020/05/04 21:29:15
9,-87.07472220000001,30.5577778,156576,,DEFAULT,2248.7162,,,1588709706170,2215.0,,FLFIC,,,,Minimal,Creeping,Smoldering,Backing,Human,,,M3QM,,2020/05/04 18:16:00,Type 4 Incident,,0.0,100.0,0.0,0.0,,,SACC,2020/05/22 20:00:00,2020/05/22 18:00:00,2020/05/22 20:00:00,F,Type 4 IC,5 MILE SWAMP,Delmonte off Avalon Blvd,WF,FI,,,,,{A1723CF9-1556-4D1B-B4AC-1F3920E23785},,0,,,0,,,0.0,1,010332,1609872413697,100.0,100.0,Milton,Santa Rosa,FLFIC,12113,,,,Private,Private,Tallahassee,,,28.0,24.0,1N,SA44,DVF,FLFLS,US-FL,,,Southern Rough,Brush (2 feet),3.0,2020-FLFLS-010332,No Decision,ics209,INFORM_Inspector,,,,,,{4BB3733D-10CE-4F8E-9509-54D5AF54DED4},2021/01/05 18:46:53,2020/05/05 20:15:06
10,-107.0754,46.13577,179297,,DEFAULT,,,,1596652411317,70.0,70.0,MTBDC,,,,,,,,Unknown,Lightning,,NDH9,,2020/08/04 20:39:59,,,,,,,,,NRCC,,,,,,Bear Ridge,,WF,FI,45.90798,-107.0436,,,{8D5CF586-3C53-46BB-A427-9387D74AFC18},,0,0.0,0.0,0,0.0,0.0,,1,200361,1610648696120,,,,Treasure,MTBDC,30103,,,,Private,Private,,,,,,,NR14,C&L,MTLG33,US-MT,,,,,,2020-MTLG33-200361,No Decision,wildcad,wildcad,,,,,,{788C35B8-9FF0-4EA1-A867-BE2CFDDB72A8},2021/01/14 18:24:56,2020/08/05 18:33:31
11,-107.70200000000001,46.0831,181021,,DEFAULT,,,,1597293973877,44.5,44.5,MTBDC,,,,,,,,Unknown,Lightning,,NE3P,,2020/08/13 02:41:00,,,,,,,,,NRCC,,,,,,7 Mile Flats,,WF,FI,46.05424,-107.7538,44.5,,{3FF8B3A7-FCD2-4302-BDFC-05826942F810},,0,1.0,0.0,0,0.0,0.0,,1,200668,1610648613747,,,,Yellowstone,MTBDC,30111,,,,Private,Private,,,,,,,NR14,C&L,MTLG03,US-MT,,,,,,2020-MTLG03-200668,No Decision,wildcad,wildcad,,,,,,{90D4EE42-F691-4223-A77F-A518234CDCD8},2021/01/14 18:23:33,2020/08/13 04:46:13
13,-116.874117,34.320417,185686,,DEFAULT,,,,1598465876940,,0.1,CABDCC,,,,,,,,Natural,Lightning,,NHU5,,2020/08/26 18:17:51,,,,,,,,,OSCC,,,,,,MITSUBISHI,,WF,FI,34.320417,-116.874117,,2020/08/26 18:19:00,{D44800B3-AAE1-404F-AB1F-960CA2ADB075},,0,1.0,0.0,0,1.0,0.0,,1,012422,1610750891660,,,,San Bernardino,CASBCC,6071,FS,CABDF,,Private,Private,,,,,,,SC10,CDF,CABDU,US-CA,Timber,TU2,,,,2020-CABDU-012422,No Decision,cfcad,INFORM_Inspector,,,,,,{C41738AB-F1FD-4932-A6EA-53EF8F7DAD1A},2021/01/15 22:48:11,2020/08/26 18:17:56
17,-89.190849183,37.424372615,195481,,DEFAULT,,,,1605812660687,2.0,1.0,ILILC,,,,,,,,Human,Other Human Cause,Ash Disposal,NRB5,,2020/11/19 18:04:59,,,,,,,,,EACC,,,,,,Nimmo,,WF,FI,37.422026,-89.192033,1.1,,{00C916EF-4382-4976-9AED-B1EA660CED8E},,0,1.0,1.0,0,0.0,0.0,,1,200266,1610745045970,,,,Union,ILILC,17181,,,,Private,Private,,,,,,,EA14,DFR,ILILS,US-IL,Grass-Shrub,,,,,2020-ILILS-200266,No Decision,wildcad,INFORM_Inspector,,,,,,{E03F9E45-11AD-47BB-AE1E-F2F187833A8A},2021/01/15 21:10:45,2020/11/19 19:04:20
19,-117.266795,33.402646000000004,198850,,DEFAULT,,,,1608798756383,4276.0,0.1,CAMVIC,,,,Minimal,Uphill Runs,Spotting,Backing,Unknown,,,NSH8,,2020/12/24 07:22:55,Type 4 Incident,,0.0,100.0,0.0,0.0,,,OSCC,2020/12/28 23:45:00,2020/12/28 14:00:00,2020/12/28 23:45:00,F,Type 4 IC,CREEK 5,"Fallbrook, De Luz, Camp Pendleton",WF,FI,33.402646000000004,-117.266795,,,{3883D723-E328-4DA2-A7E8-ECBD419B420A},,0,1.0,1.0,0,1.0,0.0,0.0,1,020846,1609807044120,100.0,100.0,Fallbrook,San Diego,CAMVIC,6073,AG,CAMCP,,DOD,Federal,,,,,,,SC08,CDF,CAMVU,US-CA,,,Brush (2 feet),Tall Grass (2.5 feet),0.0,2020-CAMVU-020846,No Decision,cfcad,firecode,,,,,,{89EF8C1D-F7C8-4B55-AA58-40B20BD773A7},2021/01/05 00:37:24,2020/12/24 08:32:36
20,-117.03111799999999,33.570875,199403,,DEFAULT,,,,1609715801327,,0.1,CARRCC,,,,,,,,Unknown,,,NS6R,,2021/01/03 23:16:27,,,,,,,,,OSCC,,,,,,LAKE,,WF,FI,33.570875,-117.03111799999999,,,{CE17C047-543F-4613-A3BC-EE8F7E491C63},,0,,,0,,,,1,001508,1610726037807,,,,Riverside,CARRCC,6065,,,,Private,Private,,,,,,,SC08,CDF,CARRU,US-CA,,,,,,2021-CARRU-001508,No Decision,cfcad,firecode,,,,,,{820A4468-9A14-46DB-81DF-2C4165C9E5F1},2021/01/15 15:53:57,2021/01/03 23:16:41
