,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
0,-114.222801,48.013802000000105,23884,,DEFAULT,,,,1436586288800,,0.1,MTKIC,,,,,,,,Undetermined,,,,,2015/07/11 03:12:25+00,,,,,,,,,NRCC,,,,,,Caroline Point,,WF,FI,48.013802,-114.222801,,,{CBDAA273-7929-4802-856F-E0F8D5B56C63},,0,0.0,0.0,0,0.0,0.0,,1,284,1613083618810,,,,Flathead,MTKIC,30029,,,,,,,,,,,,NR02,,MTNWS,US-MT,,,,,,2015-MTNWS-000284,,wildcad,wildcad,2015/07/11 03:44:48+00,2015/07/11 03:44:48+00,,,,{E5822784-5948-46B5-B7D5-5010748C748C},2021/02/11 22:46:58+00,2015/07/11 03:44:48+00
1,-114.360298,48.243198000000106,27394,,DEFAULT,,,,1439516288677,0.1,0.1,MTKIC,,,,,,,,Undetermined,,,,,2015/08/12 18:50:02+00,,,,,,,,,NRCC,,,,,,605 Farmview Lane,,WF,FI,48.243198,-114.360298,,,{578A126D-88F1-46EB-BE1D-5E16913E83D2},,0,0.0,0.0,0,0.0,0.0,,1,537,1613083559693,,,,Flathead,MTKIC,30029,,,,,,,,,,,,NR02,,MTNWS,US-MT,,,,,,2015-MTNWS-000537,,wildcad,wildcad,2015/08/14 01:38:08+00,2015/08/15 23:22:38+00,,,,{FE3AFF61-2538-4188-87EE-3065BFD628E9},2021/02/11 22:45:59+00,2015/08/14 01:38:08+00
2,-114.115402,48.1283000000001,33755,,DEFAULT,,,,1444753265480,,0.5,MTKIC,,,,,,,,Undetermined,,,,,2015/10/10 17:39:21+00,,,,,,,,,NRCC,,,,,,North Ramsfield,,WF,FI,48.123298999999996,-114.116501,,,{DC85768F-51F5-4FCA-A5F5-5A18D1E39106},,0,0.0,0.0,0,0.0,0.0,,1,891,1613081588963,,,,Flathead,MTKIC,30029,,,,,,,,,,,,NR02,,MTNWS,US-MT,,,,,,2015-MTNWS-000891,,wildcad,wildcad,2015/10/13 16:21:05+00,2015/10/13 16:21:05+00,,,,{BF0A3632-6A2B-4238-911F-1E358C838545},2021/02/11 22:13:08+00,2015/10/13 16:21:05+00
3,-113.7409,47.3489500000001,53313,,DEFAULT,,,,1474309377350,0.1,0.1,MTKIC,,,,,,,,Human,,,KQ1X,,2016/09/19 00:56:59+00,,,,,,,P1,110.0,NRCC,,,,,,Crystal Creek,,WF,FI,47.34744,-113.7468,0.1,,{42F749B1-1626-49ED-BA52-BF3AB361B7B7},,0,0.0,0.0,0,0.0,0.0,,1,521,1613155981903,,,,Missoula,,30063,,MTFNF,,USFS,Federal,,,,,,,NR07,FS,MTFNF,US-MT,,,,,,2016-MTFNF-000521,,wildcad,wildcad,2016/09/19 18:22:57+00,2016/09/19 22:07:57+00,,,,{FDCD779E-A44B-4F12-8978-09D670315702},2021/02/12 18:53:01+00,2016/09/19 18:22:57+00
11,-117.6761,34.2049200000001,170202,,DEFAULT,,,,1593173209910,0.3,0.2,CAANCC,,,,,,,,Unknown,Incendiary,Fireworks (Consumer or Personal Use),M7PJ,,2020/06/26 11:32:59+00,,,,,,,,,OSCC,,,,,,TUNNEL ,,WF,FI,34.20492,-117.6761,,2020/06/26 11:34:00+00,{86E26809-14FF-4C17-B330-BB870254715F},1.0,0,0.0,0.0,0,0.0,1.0,,1,2329,1613091424433,,,,Los Angeles,CAANCC,6037,FS,CAANF,,USFS,Federal,,,,,,,SC09,FS,CAANF,US-CA,Brush,SH2,,,,2020-CAANF-002329,No Decision,wildcad,wildcad,,,,,,{37A304D8-BE20-4AF2-AC53-B4323597D6ED},2021/02/12 00:57:04+00,2020/06/26 12:06:49+00
12,-117.8691,34.1859000000001,171219,,DEFAULT,,,,1593586982057,0.1,0.1,CAANCC,,,,,,,,Unknown,Investigated but Undetermined,,M75J,,2020/07/01 05:29:59+00,,,,,,,,,OSCC,,,,,,MORRIS,,WF,FI,34.1788,-117.8849,,,{B1D1C1D0-971C-455F-BD18-DD3794D6F94A},,0,0.0,0.0,0,0.0,1.0,,1,2436,1612989381123,,,,Los Angeles,CAANCC,6037,,,,Private,Private,,,,,,,SC09,FS,CAANF,US-CA,,,,,,2020-CAANF-002436,No Decision,wildcad,INFORM_Inspector,,,,,,{A3927CE5-4900-402B-86AC-1BEDFCE083CA},2021/02/10 20:36:21+00,2020/07/01 07:03:02+00
13,-122.121459,40.2793300000001,181396,,DEFAULT,,,,1597494203643,,0.1,CATGCC,,,,,,,,Unknown,,,,,2020/08/15 12:23:21+00,,,,,,,,,ONCC,,,,,,TUSCAN 2,,WF,FI,40.27933,-122.121459,,,{6DB650D7-4BC7-462B-A9F6-ED8B18E0B757},,0,,,0,,,,1,8651,1613070163130,,,,Tehama,CATGCC,6103,BLM,CANOD,,BLM,Federal,,,,,,,NC05,,CATGU,US-CA,,,,,,2020-CATGU-008651,No Decision,cfcad,cfcad,,,,,,{3E4D77A1-16EC-4067-B913-36D091413F63},2021/02/11 19:02:43+00,2020/08/15 12:23:23+00
14,-122.121459,40.2793300000001,181398,,DEFAULT,,,,1597494610737,,0.1,CATGCC,,,,,,,,Unknown,,,,,2020/08/15 12:30:08+00,,,,,,,,,ONCC,,,,,,TUSCAN 4,,WF,FI,40.27933,-122.121459,,,{3F722DC8-5F36-465B-B9ED-FC624F5E1648},,0,,,0,,,,1,8653,1613070377083,,,,Tehama,CATGCC,6103,BLM,CANOD,,BLM,Federal,,,,,,,NC05,,CATGU,US-CA,,,,,,2020-CATGU-008653,No Decision,cfcad,cfcad,,,,,,{F0C2B548-519F-4FFD-B308-43E4F34DD0B1},2021/02/11 19:06:17+00,2020/08/15 12:30:10+00
16,-118.167,45.605340000000105,183243,EK2L,DEFAULT,,,,1597955078827,0.1,0.1,ORBMC,,,,,,,,Unknown,,,,,2020/08/19 17:43:26+00,,,,,,,P6,614.0,NWCC,,,,,,874,,WF,FI,45.605340000000005,-118.167,,,{D475F98D-A719-4CE9-ACF0-17DC180C968B},,0,0.0,0.0,0,0.0,0.0,0.0,1,874,1613143404217,,,,Umatilla,ORBMC,41059,FS,ORUMF,,USFS,Federal,,,,,,,NW11,FS,ORUMF,US-OR,,,,,,2020-ORUMF-000874,No Decision,wildcad,wildcad,,,,,,{14A43927-0665-473A-A162-8776D1F3201E},2021/02/12 15:23:24+00,2020/08/20 20:24:38+00
17,-122.90133300000001,41.8050000000001,185948,,DEFAULT,,,,1598564578257,5.6,0.1,CAYICC,,,,,,,,Natural,Lightning,,NH01,,2020/08/27 21:21:07+00,,,,,,,,,ONCC,,,,,,CREEK,,WF,FI,41.805,-122.90133300000001,,2020/08/27 21:59:59+00,{293A4276-6246-484B-80F9-F78847BF1CF3},,0,1.0,0.0,0,1.0,1.0,,1,6716,1612982080397,,,,Siskiyou,CAYICC,6093,FS,CAKNF,,Private,Private,,,,,,,NC04,FS,CAKNF,US-CA,Timber,TU5,,,,2020-CAKNF-006716,No Decision,cfcad,INFORM_Inspector,,,,,,{B8E7E1DE-6C04-4068-B8D5-75D6174C1ED1},2021/02/10 18:34:40+00,2020/08/27 21:42:58+00
18,-121.7699,43.5027400000001,189776,,DEFAULT,,,,1600491389487,0.1,0.1,ORCOC,,,,,,,,Natural,Lightning,,NL1B,,2020/09/19 00:33:59+00,,,,,,,PN,1502.0,NWCC,,,,,,0917 CR,,WF,FI,43.50306,-121.7698,,,{16FBFAA7-CAE6-41E8-B979-CF027CDBD641},,0,1.0,0.0,0,1.0,0.0,,1,917,1613079373953,,,,Klamath,ORCOC,41035,,,,Private,Private,,,,,,,NW07,DOF,OR991S,US-OR,,,,,,2020-OR991S-000917,No Decision,wildcad,INFORM_Inspector,,,,,,{F8EDFE39-0C9E-454C-815C-3DACA944726A},2021/02/11 21:36:13+00,2020/09/19 04:56:29+00
19,-121.175501,38.7192830000001,197721,,DEFAULT,,,,1607228610277,,0.1,CAGVCC,,,,,,,,Unknown,,,,,2020/12/06 04:23:05+00,,,,,,,,,ONCC,,,,,,AUBURN FOLSOM RD / OAK HI,,WF,FI,38.719283000000004,-121.175501,,,{69EE0EB3-650A-4986-BFEA-3E77094D35BD},,0,,,0,,,,1,29083,1612981784653,,,,Placer,CAGVCC,6061,,,,Private,Private,,,,,,,NC05,,CANEU,US-CA,,,,,,2020-CANEU-029083,No Decision,cfcad,wfdss,,,,,,{0E293D60-6786-4EC0-BB5A-20B282B7ED6E},2021/02/10 18:29:44+00,2020/12/06 04:23:30+00
20,-116.90880600000001,32.821826,197744,,DEFAULT,,,,1607278832077,,0.1,CAMVIC,,,,,,,,Unknown,,,,,2020/12/06 18:13:32+00,,,,,,,,,OSCC,,,,,,HIGH WILDLAND,,WF,FI,32.821826,-116.90880600000001,,,{0AACCA4A-DEA6-4D59-B991-B79A83F33388},,0,,,0,,,,1,19564,1612982323557,,,,San Diego,CAMVIC,6073,,,,Private,Private,,,,,,,SC08,CDF,CAMVU,US-CA,,,,,,2020-CAMVU-019564,No Decision,cfcad,wfdss,,,,,,{7607509E-E7DE-473D-9F2F-286C4B3C5697},2021/02/10 18:38:43+00,2020/12/06 18:20:32+00
29,-81.4140399999999,26.4049400000001,201149,,DEFAULT,,,,1611944858747,1.0,1.0,FLFIC,,,,,,,,Unknown,,,NTP2,,2021/01/29 18:25:00+00,,,,,,,PA,1522.0,SACC,,,,,,Chickee Hut,,WF,FI,26.404940000000003,-81.41404,1.0,,{1251D7ED-8948-491B-8DA3-F1AC66BFCA2F},,0,1.0,0.0,0,0.0,0.0,,1,83,1612972411583,,,,Collier,FLFIC,12021,BIA,FLSEA,,BIA,Federal,,,,,,,SA50,BIA,FLSEA,US-FL,,,,,,2021-FLSEA-000083,No Decision,wildcad,wildcad,,,,,,{E294A798-F295-4573-8736-4CAC2C6739B3},2021/02/10 15:53:31+00,2021/01/29 18:27:38+00
