,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
10,-108.6063,39.0238200000001,168068,,DEFAULT,,,,1592098602430,0.1,0.1,COGJC,,,2021/02/08 16:33:23+00,,,,,Unknown,Equipment,Motor Vehicle,M6PJ,,2020/06/13 22:14:00+00,,,,,,,,,RMCC,,,,,,Little Park,,WF,FI,39.02381,-108.6066,,2020/06/13 22:30:00+00,{EE79AE04-E485-41F2-96AD-94B67D73E395},0.0,0,1.0,0.0,0,0.0,0.0,,1,123,1612826075323,,,,Mesa,COGJC,8077,BLM,COGRD,,BLM,Federal,,,,,,,RM26,BLM,COGRD,US-CO,Grass,GR1,,,,2020-COGRD-000123,No Decision,wildcad,wildcad,,,,,,{39D0876B-21A5-4D01-A3AD-BFAED4FA9982},2021/02/08 23:14:35+00,2020/06/14 01:36:42+00
11,-117.8691,34.1859000000001,171219,,DEFAULT,,,,1593586982057,0.1,0.1,CAANCC,,,,,,,,Unknown,Investigated but Undetermined,,M75J,,2020/07/01 05:29:59+00,,,,,,,,,OSCC,,,,,,MORRIS,,WF,FI,34.1788,-117.8849,,,{B1D1C1D0-971C-455F-BD18-DD3794D6F94A},,0,0.0,0.0,0,0.0,1.0,,1,2436,1612989381123,,,,Los Angeles,CAANCC,6037,,,,Private,Private,,,,,,,SC09,FS,CAANF,US-CA,,,,,,2020-CAANF-002436,No Decision,wildcad,INFORM_Inspector,,,,,,{A3927CE5-4900-402B-86AC-1BEDFCE083CA},2021/02/10 20:36:21+00,2020/07/01 07:03:02+00
12,-122.90133300000001,41.8050000000001,185948,,DEFAULT,,,,1598564578257,5.6,0.1,CAYICC,,,,,,,,Natural,Lightning,,NH01,,2020/08/27 21:21:07+00,,,,,,,,,ONCC,,,,,,CREEK,,WF,FI,41.805,-122.90133300000001,,2020/08/27 21:59:59+00,{293A4276-6246-484B-80F9-F78847BF1CF3},,0,1.0,0.0,0,1.0,1.0,,1,6716,1612982080397,,,,Siskiyou,CAYICC,6093,FS,CAKNF,,Private,Private,,,,,,,NC04,FS,CAKNF,US-CA,Timber,TU5,,,,2020-CAKNF-006716,No Decision,cfcad,INFORM_Inspector,,,,,,{B8E7E1DE-6C04-4068-B8D5-75D6174C1ED1},2021/02/10 18:34:40+00,2020/08/27 21:42:58+00
13,-121.175501,38.7192830000001,197721,,DEFAULT,,,,1607228610277,,0.1,CAGVCC,,,,,,,,Unknown,,,,,2020/12/06 04:23:05+00,,,,,,,,,ONCC,,,,,,AUBURN FOLSOM RD / OAK HI,,WF,FI,38.719283000000004,-121.175501,,,{69EE0EB3-650A-4986-BFEA-3E77094D35BD},,0,,,0,,,,1,29083,1612981784653,,,,Placer,CAGVCC,6061,,,,Private,Private,,,,,,,NC05,,CANEU,US-CA,,,,,,2020-CANEU-029083,No Decision,cfcad,wfdss,,,,,,{0E293D60-6786-4EC0-BB5A-20B282B7ED6E},2021/02/10 18:29:44+00,2020/12/06 04:23:30+00
14,-116.90880600000001,32.821826,197744,,DEFAULT,,,,1607278832077,,0.1,CAMVIC,,,,,,,,Unknown,,,,,2020/12/06 18:13:32+00,,,,,,,,,OSCC,,,,,,HIGH WILDLAND,,WF,FI,32.821826,-116.90880600000001,,,{0AACCA4A-DEA6-4D59-B991-B79A83F33388},,0,,,0,,,,1,19564,1612982323557,,,,San Diego,CAMVIC,6073,,,,Private,Private,,,,,,,SC08,CDF,CAMVU,US-CA,,,,,,2020-CAMVU-019564,No Decision,cfcad,wfdss,,,,,,{7607509E-E7DE-473D-9F2F-286C4B3C5697},2021/02/10 18:38:43+00,2020/12/06 18:20:32+00
17,-116.953433,33.4700550000001,199996,,DEFAULT,,,,1610490827983,,0.1,CARRCC,,,,,,,,Unknown,,,,,2021/01/12 22:33:40+00,,,,,,,,,OSCC,,,,,,LAKE,,WF,FI,33.470055,-116.953433,,,{187D5CB4-B73E-4382-9BEC-05FA5AAA2B62},,0,,,0,,,,1,6414,1612837012520,,,,Riverside,CARRCC,6065,,,,Private,Private,,,,,,,SC11,CDF,CARRU,US-CA,,,,,,2021-CARRU-006414,No Decision,cfcad,cfcad,,,,,,{2439DF9E-AB5B-42D6-8682-F9DA38CBBBF4},2021/02/09 02:16:52+00,2021/01/12 22:33:47+00
18,-105.26799999999999,47.341666700000104,200180,,DEFAULT,,,,1610669163727,3202.0,,MTMCC,,,,Active,Running,Spotting,,Human,Other Human Cause,,,,2021/01/14 00:55:00+00,Type 5 Incident,,0.0,100.0,0.0,0.0,,,NRCC,2021/01/14 21:59:59+00,2021/01/14 00:59:59+00,2021/01/14 21:59:59+00,F,Type 5 IC,Great Divide,"13 miles SE of Circle, MT",WF,FI,,,,,{D8AB1F27-C152-4144-B7AE-B9E656614B5F},,0,,,0,,,0.0,1,4,1612119560403,100.0,100.0,,Dawson,MTMCC,30021,,,,Private,Private,,,,,,,NR15,C&L,MTLG16,US-MT,,,Short Grass (1 foot),,,2021-MTLG16-000004,No Decision,ics209,INFORM_Inspector,,,,,,{E128847D-F577-466B-BF29-D074A619E2BF},2021/01/31 18:59:20+00,2021/01/15 00:06:03+00
21,-93.16846,31.083000000000002,200586,EK21,DEFAULT,,,,1611087186157,5.0,1.0,LALIC,,,,,,,,Unknown,,,,,2021/01/14 23:08:00+00,,,,,,,,,SACC,,,,,,Zion Hills One.1,,WF,FI,31.083000000000002,-93.16846,,,{8ED0B52C-89C1-43F8-9D18-84A2260A2803},,0,0.0,0.0,0,0.0,0.0,,1,7,1612905286170,,,,Vernon,LALIC,22115,,,,DOD,Federal,,,,,,,SA19,FS,LAKIF,US-LA,,,,,,2021-LAKIF-000007,No Decision,wildcad,wildcad,,,,,,{4CA58D03-F8A8-4010-9D3D-8736CB6ABE3A},2021/02/09 21:14:46+00,2021/01/19 20:13:06+00
25,-104.1858,46.556000000000004,200881,,DEFAULT,,,,1611349641140,214.6,214.0,MTMCC,,,,,,,,Human,,,,,2021/01/04 20:28:00+00,,,,,,,,,NRCC,,,,,,Wenz - Fallon,,WF,FI,46.556000000000004,-104.1858,,,{60D313FF-2F1B-4367-B7BE-BF24E49FA6CF},,0,0.0,0.0,0,0.0,0.0,,1,8,1612452347167,,,,Fallon,MTMCC,30025,,,,Private,Private,,,,,,,NR16,C&L,MTLG39,US-MT,,,,,,2021-MTLG39-000008,No Decision,wildcad,wildcad,,,,,,{19DF1CBB-3A13-4A96-A4EB-0B61C3580C57},2021/02/04 15:25:47+00,2021/01/22 21:07:21+00
29,-81.4140399999999,26.4049400000001,201149,,DEFAULT,,,,1611944858747,1.0,1.0,FLFIC,,,,,,,,Unknown,,,NTP2,,2021/01/29 18:25:00+00,,,,,,,PA,1522.0,SACC,,,,,,Chickee Hut,,WF,FI,26.404940000000003,-81.41404,1.0,,{1251D7ED-8948-491B-8DA3-F1AC66BFCA2F},,0,1.0,0.0,0,0.0,0.0,,1,83,1612972411583,,,,Collier,FLFIC,12021,BIA,FLSEA,,BIA,Federal,,,,,,,SA50,BIA,FLSEA,US-FL,,,,,,2021-FLSEA-000083,No Decision,wildcad,wildcad,,,,,,{E294A798-F295-4573-8736-4CAC2C6739B3},2021/02/10 15:53:31+00,2021/01/29 18:27:38+00
