,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
12,-89.52722220000001,30.699166700000003,146822,,DEFAULT,,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1583191172437,2135.0,,MSMIC,,,1970/01/01 00:00:00+00,Extreme,Creeping,,,Human,,,,,2020/02/29 04:30:00+00,Type 5 Incident,1970/01/01 00:00:00+00,25.0,75.0,0.0,0.0,,,SACC,2020/03/02 23:00:00+00,2020/02/29 04:45:00+00,2020/03/02 23:00:00+00,F,Type 5 IC,Two Hollows,Two Hollows Road off Bouie Rd,WF,FI,,,,1970/01/01 00:00:00+00,f9d80c3e-e479-45a6-abaa-37d906360e8e,,0,,,0,,,,1,007063,1609872554450,100.0,100.0,,Pearl River,MSMIC,28109,FC,MSMSS,,Private,Private,,,,,,,SA22A,FC,MSMSS,US-MS,,,Timber (Litter and Understory),Timber (Grass and Understory),18.0,2020-MSMSS-007063,No Decision,ics209,INFORM_Inspector,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,78156df6-1941-4b0c-af6a-23e2bafbef8a,2021/01/05 18:49:14.450+00,2020/03/02 23:19:32.437+00
13,-87.3207,34.27102,146935,,DEFAULT,,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1583719980063,16.0,1.0,ALAIC,,,1970/01/01 00:00:00+00,,,,,Human,,,M0XM,,2020/03/08 21:02:00+00,,1970/01/01 00:00:00+00,,,,,P8,801.0,SACC,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,BK Grayson,,WF,FI,34.273559999999996,-87.31954,,1970/01/01 00:00:00+00,dfb0f34a-1722-49b1-bb4d-3ca2a483170e,,0,0.0,0.0,0,0.0,0.0,,1,000090,1609890275897,,,,Winston,ALAIC,1133,FC,ALALS,,Private,Private,,,,,,,SA38,FC,ALALS,US-AL,,,,,,2020-ALALS-000090,No Decision,wildcad,INFORM_Inspector,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,5cb20b03-f6d8-450e-8d2c-539e312bf68e,2021/01/05 23:44:35.897+00,2020/03/09 02:13:00.063+00
23,-95.86095,47.25145,155266,,DEFAULT,,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1587839026230,20.0,20.0,MNMNCC,,,2020/12/16 19:59:42+00,,,,,Human,Other Human Cause,,M2SR,,2020/04/24 08:53:07+00,,1970/01/01 00:00:00+00,,,,,,,EACC,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,Crane,,WF,FI,,,,1970/01/01 00:00:00+00,d2c7ca11-0b8d-4ceb-9477-87cda9f08aef,,0,1.0,,0,,,,1,000051,1609947855787,,,,Mahnomen,MNMNCC,27087,DNR,MNMNS,,Private,Private,,,,,,,EA01,BIA,MNMNA,US-MN,Grass,GR3,,,,2020-MNMNA-000051,No Decision,INFORM_Inspector,INFORM_Inspector,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,e0562c64-b1ae-4693-8cb4-767e080b98fb,2021/01/06 15:44:15.787+00,2020/04/25 18:23:46.230+00
24,-87.07472220000001,30.5577778,156576,,DEFAULT,2248.7162,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1588709706170,2215.0,,FLFIC,,,1970/01/01 00:00:00+00,Minimal,Creeping,Smoldering,Backing,Human,,,M3QM,,2020/05/04 18:16:00+00,Type 4 Incident,1970/01/01 00:00:00+00,0.0,100.0,0.0,0.0,,,SACC,2020/05/22 20:00:00+00,2020/05/22 18:00:00+00,2020/05/22 20:00:00+00,F,Type 4 IC,5 MILE SWAMP,Delmonte off Avalon Blvd,WF,FI,,,,1970/01/01 00:00:00+00,a1723cf9-1556-4d1b-b4ac-1f3920e23785,,0,,,0,,,0.0,1,010332,1609872413697,100.0,100.0,Milton,Santa Rosa,FLFIC,12113,,,,Private,Private,Tallahassee,,,28,24.0,1N,SA44,DVF,FLFLS,US-FL,,,Southern Rough,Brush (2 feet),3.0,2020-FLFLS-010332,No Decision,ics209,INFORM_Inspector,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,4bb3733d-10ce-4f8e-9509-54d5af54ded4,2021/01/05 18:46:53.697+00,2020/05/05 20:15:06.170+00
25,-117.0061111,34.1015,164976,,DEFAULT,5.96,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1590626391443,5.8,,CABDCC,,,1970/01/01 00:00:00+00,,,,,,,,M45D,,2020/05/28 00:34:00+00,,1970/01/01 00:00:00+00,,,,,,,OSCC,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,KARE,,WF,FI,,,,1970/01/01 00:00:00+00,57e68fad-4d9c-4349-b51a-54778931ba6b,,0,1.0,0.0,0,0.0,0.0,,1,007022,1609970067223,,,,San Bernardino,CASBCC,6071,FS,CABDF,,USFS,Federal,,,,,,,SC10,FS,CABDF,US-CA,,,,,,2020-CABDF-007022,No Decision,IROC,INFORM_Inspector,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,4ba15425-b887-41cd-b4d7-747b03167dba,2021/01/06 21:54:27.223+00,2020/05/28 00:39:51.443+00
30,-117.12382643299999,34.1129061830001,168283,,DEFAULT,,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1592180357620,36.1,0.1,CABDCC,,,1970/01/01 00:00:00+00,,,,,Human,Firearms/Weapons,,M6SY,,2020/06/14 23:53:24+00,,1970/01/01 00:00:00+00,,,,,,,OSCC,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,GREEN,,WF,FI,34.109976,-117.151673,,1970/01/01 00:00:00+00,db4286d5-cd1f-494c-bbb1-3e37ae29150b,,0,1.0,0.0,0,0.0,0.0,,1,008004,1609957526787,,,,San Bernardino,CASBCC,6071,FS,CABDF,,USFS,Federal,,,,,,,SC08,CDF,CABDU,US-CA,,,,,,2020-CABDU-008004,No Decision,cfcad,INFORM_Inspector,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,7255974f-df71-4e6f-9961-9ee34b6a43dc,2021/01/06 18:25:26.787+00,2020/06/15 00:19:17.620+00
35,-94.75195,31.35615,182070,EK28,DEFAULT,,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1597683839940,0.1,0.1,TXTIC,,,1970/01/01 00:00:00+00,,,,,Unknown,,,,,2020/08/17 17:04:38+00,,1970/01/01 00:00:00+00,,,,,P8,813.0,SACC,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,2020 NFGT Fire Support,,WF,FI,31.35615,-94.75195,,1970/01/01 00:00:00+00,0121283b-ba75-4d22-8604-0d21f59834b3,,0,0.0,0.0,0,0.0,0.0,,1,000153,1609775274327,,,,Angelina,TXTIC,48005,,,,Private,Private,,,,,,,SA12,FS,TXTXF,US-TX,,,,,,2020-TXTXF-000153,No Decision,wildcad,wildcad,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,6756e8ea-a143-46cd-8994-e4e84797f263,2021/01/04 15:47:54.327+00,2020/08/17 17:03:59.940+00
36,-121.49799999999999,39.5605,182113,,DEFAULT,,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1597688877413,927.0,0.1,CABTCC,,,1970/01/01 00:00:00+00,Minimal,Backing,Running,Short-range Spotting,Unknown,,,NF27,,2020/08/17 18:27:55+00,Type 3 Incident,1970/01/01 00:00:00+00,0.0,100.0,0.0,0.0,,,ONCC,2020/08/20 03:00:00+00,2020/08/20 01:15:00+00,2020/08/20 03:00:00+00,F,Type 3 IC,5-4 POTTERS,Kelly Ridge,WF,FI,39.5605,-121.49799999999999,,1970/01/01 00:00:00+00,61aa84a0-8e88-4549-b694-bf14dd6e4cd4,,0,1.0,0.0,0,0.0,0.0,0.0,1,009702,1609617705453,98.0,100.0,,Butte,CABTCC,6007,,,,Private,Private,,,,,,,NC05,,CABTU,US-CA,,,Brush (2 feet),Tall Grass (2.5 feet),0.0,2020-CABTU-009702,No Decision,cfcad,cfcad,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,e3827f87-6fb8-47c4-90c4-19419dc33cda,2021/01/02 20:01:45.453+00,2020/08/17 18:27:57.413+00
37,-118.4524,36.16067,183313,,ICS209,179758.6668,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1597968141010,174178.0,1.0,CACCCC,,,1970/01/01 00:00:00+00,Active,Crowning,Short Crown Runs,Group Torching,Natural,,,NG2P,,2020/08/19 14:20:50+00,Type 3 Incident,1970/01/01 00:00:00+00,0.0,100.0,0.0,0.0,,,OSCC,2020/08/24 17:00:00+00,2020/08/24 13:00:00+00,2020/08/24 17:00:00+00,F,Type 2 Team,CASTLE,SOUTH CASTLE ROCK EAST OF JERKY TRAILHEAD,WF,FI,36.16972,-118.4587,,1970/01/01 00:00:00+00,4ce00061-b897-49dc-8839-d08e040ff65d,,0,0.0,0.0,0,0.0,0.0,0.0,1,002541,1609865915090,100.0,0.0,Springville,Tulare,CACCCC,6107,FS,CASQF,,USFS,Federal,,,,,,,SC03,FS,CASQF,US-CA,,,Medium Logging Slash,Timber (Grass and Understory),139.0,2020-CASQF-002541,Approved Decision,IROC,ics209,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,Type 4 Incident,2020/12/28 23:49:35+00,676f44dd-2653-45d3-ae25-9d263f111a75,2021/01/05 16:58:35.090+00,2020/08/21 00:02:21.010+00
38,-118.541,36.34959,184890,,ICS209,816.416,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1598146652673,841.0,0.1,CACCCC,,,1970/01/01 00:00:00+00,Active,Flanking,Running,,Unknown,,,NH3B,,2020/08/19 14:25:54+00,Type 5 Incident,1970/01/01 00:00:00+00,0.0,100.0,0.0,0.0,,,OSCC,2020/08/24 17:45:00+00,2020/08/24 17:30:00+00,2020/08/24 17:45:00+00,F,Type 2 Team,SHOTGUN,"31E12 Trail, Camelback Ridge",WF,FI,36.37079,-118.5813,,1970/01/01 00:00:00+00,74f9525d-3f74-4353-87f1-94c819988153,,0,0.0,0.0,0,0.0,0.0,0.0,1,002543,1609865912710,100.0,0.0,Springville,Tulare,CACCCC,6107,FS,CASQF,,USFS,Federal,Mt. Diablo,,,32E,19.0,18S,SC03,FS,CASQF,US-CA,,,Heavy Logging Slash,Timber (Litter and Understory),,2020-CASQF-002543,Approved Decision,ics209,ics209,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,,Type 3 Incident,2020/09/02 04:25:40+00,4c9e9f7d-2658-4d67-a2b3-d51bbff29356,2021/01/05 16:58:32.710+00,2020/08/23 01:37:32.673+00
