,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
5,-122.2151,46.06861,188728,,DEFAULT,,,,1599693769203,612.0,1.0,WAPCC,,,,,,,,Unknown,,,NL4F,,2020/09/08 15:01:59,,,,,,,P6,1502.0,NWCC,,,,,,BIG HOLLOW,,WF,FI,45.94763,-121.9743,,,{B609629C-FABF-43EF-A986-9E9E96C6FD0C},,0,1.0,1.0,0,0.0,0.0,,1,000242,1611183259493,,,,Skamania,WACCC,53059,FS,WAGPF,,USFS,Federal,,,,,,,NW02,DNR,WAPCS,US-WA,,,,,,2020-WAPCS-000242,No Decision,wildcad,wildcad,,,,,,{A976EC4A-D8AD-421C-AEBC-67C9FAB8A686},2021/01/20 22:54:19,2020/09/09 23:22:49
8,-118.6702,34.55226,199349,,DEFAULT,0.1,,,1609620640260,0.1,0.1,CAANCC,,,,,,,,Unknown,Cause and Origin Not Identified,,,,2021/01/02 20:41:33,,,,,,,,,OSCC,,,,,,TEMPLIN,,WF,FI,34.56966,-118.6875,,2021/01/02 20:44:00,{08DB991F-87FA-4E62-BE55-60F801EE6E41},,0,0.0,0.0,0,0.0,0.0,,1,000022,1611332326530,,,,Los Angeles,CAANCC,6037,FS,CAANF,,USFS,Federal,,,,,,,SC09,FS,CAANF,US-CA,Grass,GR1,,,,2021-CAANF-000022,No Decision,wildcad,wildcad,,,,,,{290C3CB5-E566-44AC-B2B8-D3DD5A6BFEDB},2021/01/22 16:18:46,2021/01/02 20:50:40
11,-106.9365,47.50497,199687,,DEFAULT,5.07,,,1609953060300,5.1,5.0,MTMCC,,,,,,,,Human,Utilities,,NS0X,,2021/01/03 00:59:59,,,,,,,PD,1502.0,NRCC,,,,,,White Horse,,WF,FI,47.50497,-106.9365,,2021/01/03 01:30:00,{80B24CED-1769-488F-92D3-502D06A36267},,0,1.0,0.0,0,0.0,0.0,,1,000001,1611330582797,,,,Garfield,MTMCC,30033,BLM,MTMCD,,BLM,Federal,,,,,,,NR13,BLM,MTMCD,US-MT,Grass,GR1,,,,2021-MTMCD-000001,No Decision,wildcad,INFORM_Inspector,,,,,,{28DE2B7D-EDBC-4364-9B18-DD5A87C1F676},2021/01/22 15:49:42,2021/01/06 17:11:00
15,-100.4836,44.50723,200119,,DEFAULT,,,,1610649884897,734.0,1.0,SDGPC,,,,Active,,,,Unknown,,,NS5Y,,2021/01/14 18:10:00,Type 3 Incident,,0.0,100.0,0.0,0.0,PN,1522.0,RMCC,2021/01/16 21:30:00,2021/01/14 17:45:00,2021/01/16 21:30:00,F,Type 3 Team,Pivot CA,North of Pierre and West of HWY 1804 on 199th St.,WF,FI,44.50723,-100.4836,,,{66CFD964-F8FA-4AB0-B516-DD944D6E984F},,0,1.0,0.0,0,0.0,0.0,0.0,1,210036,1611088386710,100.0,100.0,Pierre,Hughes,SDGPC,46065,,,,Private,Private,,,,,,,RM53,DWF,SDSDS,US-SD,,,Tall Grass (2.5 feet),Brush (2 feet),,2021-SDSDS-210036,No Decision,wildcad,ics209,,,,,,{DACD1C6C-AC76-48E3-8D17-CC1AFE4708E2},2021/01/19 20:33:06,2021/01/14 18:44:44
16,-86.50916670000001,32.137222200000004,200121,,DEFAULT,,,,1610650591007,155.0,,ALAIC,,,,Minimal,,,,Human,,,,,2020/12/27 19:46:00,Type 3 Incident,,0.0,100.0,0.0,0.0,,,SACC,2020/12/27 22:44:59,2020/12/27 19:47:00,2020/12/27 22:44:59,F,Type 3 Team,AL HWY 97/CO RD 37,AL HWY 97/CO RD 37,WF,FI,,,,,{ED517C95-B603-448C-8C59-C7F4BEF542E1},,0,,,0,,,0.0,1,20201227-5,1610650602903,100.0,100.0,LETOHATCHEE,Lowndes,ALAIC,1085,,,,Private,Private,,,,,,,SA39,FC,ALALS,US-AL,,,Short Grass (1 foot),,,2020-ALALS-20201227-5,No Decision,ics209,wfdss,,,,,,{23E89303-8994-474F-9F14-3414504FF504},2021/01/14 18:56:42,2021/01/14 18:56:31
18,-105.26799999999999,47.341666700000005,200180,,DEFAULT,,,,1610669163727,3202.0,,MTMCC,,,,Active,Running,Spotting,,Human,,,,,2021/01/14 00:55:00,Type 5 Incident,,0.0,100.0,0.0,0.0,,,NRCC,2021/01/14 21:59:59,2021/01/14 00:59:59,2021/01/14 21:59:59,F,Type 5 IC,Great Divide,"13 miles SE of Circle, MT",WF,FI,,,,,{D8AB1F27-C152-4144-B7AE-B9E656614B5F},,0,,,0,,,0.0,1,000004,1610669175833,100.0,100.0,,Dawson,MTMCC,30021,,,,Private,Private,,,,,,,NR15,C&L,MTLG16,US-MT,,,Short Grass (1 foot),,,2021-MTLG16-000004,No Decision,ics209,wfdss,,,,,,{E128847D-F577-466B-BF29-D074A619E2BF},2021/01/15 00:06:15,2021/01/15 00:06:03
19,-118.83888847899999,34.2325864850001,200185,,DEFAULT,,,,1610672516730,28.0,,CAVNCC,,,,,,,,Unknown,Cause and Origin Not Identified,,NS8H,,2021/01/15 00:54:00,,,,,,,,,OSCC,,,,,,ERBES,,WF,FI,,,,,{3596CF8C-A5A4-44FB-90F2-75F7639717C1},,0,1.0,0.0,0,1.0,0.0,,1,004124,1611278930350,,,,Ventura,CAVNCC,6111,,,,State,Other,,,,,,,SC08,C&L,CAVNC,US-CA,,,,,,2021-CAVNC-004124,No Decision,IROC,INFORM_Inspector,,,,,,{47E7594E-A0AD-461B-A072-9CEA699D8D1C},2021/01/22 01:28:50,2021/01/15 01:01:56
20,-116.670243,33.704361999999996,200202,,DEFAULT,674.7109,,,1610702309000,715.0,0.1,CARRCC,,,,Minimal,Smoldering,Creeping,Backing,Unknown,,,NS64,,2021/01/15 09:18:17,Type 4 Incident,,0.0,100.0,0.0,0.0,,,OSCC,2021/01/25 00:59:59,2021/01/24 00:59:59,2021/01/25 00:59:59,U,Type 3 IC,BONITA,Mountain Center Community,WF,FI,33.704361999999996,-116.670243,,,{FF90CD09-752E-4F94-8BE4-2CCFFEA97795},,0,1.0,0.0,0,1.0,0.0,0.0,1,007737,1611540021000,96.0,100.0,Mountain Center,Riverside,CARRCC,6065,,,,Private,Private,,,,,,,SC11,CDF,CARRU,US-CA,,,Chaparral (6 feet),Brush (2 feet),50.0,2021-CARRU-007737,Approved Decision,cfcad,ics209,,,,Type 3 Incident,2021/01/16 00:15:54,{D90DBF20-405C-48C0-BDB6-3B9286333291},2021/01/25 02:00:21,2021/01/15 09:18:29
21,-93.69639000000001,31.37998,200261,,DEFAULT,,,,1610752339107,15.0,15.0,TXTIC,,,,,,,,Unknown,,,,,2021/01/15 21:17:08,,,,,,,,,SACC,,,,,,SA Tom Lowe Road,,WF,FI,31.37998,-93.69639000000001,,,{E75784CA-04BA-430A-9170-D48101B7E2D0},,0,0.0,0.0,0,0.0,0.0,,1,000011,1610977139760,,,,Sabine,TXTIC,48403,,,,,,,,,,,,SA12,SFS,TXTXS,US-TX,,,,,,2021-TXTXS-000011,No Decision,wildcad,wildcad,,,,,,{6CEB2749-9309-4C5E-B47F-C9B79D2072D7},2021/01/18 13:38:59,2021/01/15 23:12:19
22,-101.66277779999999,36.58694439999999,200270,,DEFAULT,,,,1610758772240,404.0,,ARAOC,,,,Minimal,Smoldering,Running,Flanking,Unknown,,,,,2021/01/15 18:14:59,Type 4 Incident,,0.0,100.0,0.0,0.0,,,SWCC,2021/01/17 17:45:00,2021/01/16 21:00:00,2021/01/17 17:45:00,F,Type 4 IC,21 Fire,"2 miles west of Goodwell, OK",WF,FI,,,,,{B140C7B4-51F6-4FC7-91EB-A38CA64E51DC},,0,,,0,,,0.0,1,400001,1610905813020,100.0,100.0,,Texas,ARAOC,40139,,,,Private,Private,,,,,,,SW13,DVF,OKOKS,US-OK,,,Tall Grass (2.5 feet),,4.0,2021-OKOKS-400001,No Decision,ics209,ics209,,,,,,{ED595ACD-66F6-4BC2-BA3B-80E174F88D99},2021/01/17 17:50:13,2021/01/16 00:59:32
